TAZ,university,gradeschool,highschool
1385,0.0,567.0,0.0
1387,0.0,539.0,0.0
1388,0.0,491.0,0.0
426,0.0,429.0,0.0
427,0.0,17.0,434.10236
431,0.0,0.0,0.0
432,0.0,109.0,0.0
434,0.0,34.0,0.0
538,0.0,205.0,0.0
539,0.0,73.0,0.0
603,0.0,38.0,0.0
604,0.0,449.0,0.0
607,0.0,777.0,0.0
750,955.84347232,419.0,0.0
752,0.0,133.0,0.0
1247,0.0,2237.0,0.0
1249,4759.2136204,837.0,0.0
1268,0.0,1625.0,0.0
1332,0.0,536.0,0.0
1326,0.0,926.0,0.0
1327,0.0,950.0,1392.43481
1331,0.0,803.0,0.0
1330,0.0,494.0,369.53842000000003
1383,0.0,661.0,0.0
1392,0.0,498.0,0.0
751,0.0,31.0,0.0
874,0.0,0.0,0.0
875,0.0,906.0,0.0
1136,0.0,762.0,0.0
1145,0.0,679.0,0.0
1146,0.0,267.0,1579.27698
1201,0.0,905.0,0.0
1270,0.0,2967.0,1358.39575
1250,0.0,861.0,0.0
1262,0.0,385.0,0.0
1264,0.0,940.0,0.0
1259,0.0,1027.0,0.0
1258,0.0,987.0,0.0
1257,0.0,1180.0,0.0
1255,0.0,760.0,0.0
1253,0.0,791.0,0.0
1256,0.0,901.0,0.0
1280,0.0,1547.0,0.0
1329,0.0,477.0,0.0
1328,0.0,771.0,0.0
1337,0.0,1090.0,0.0
1344,0.0,915.0,0.0
1347,0.0,915.0,0.0
1346,0.0,638.0,0.0
1394,0.0,2362.0,0.0
1396,0.0,1902.0,875.27051
1286,0.0,649.0,0.0
1279,0.0,898.0,0.0
1278,0.0,683.0,0.0
1277,0.0,1448.0,0.0
1284,0.0,1010.0,0.0
1274,0.0,1377.0,2323.87524
1341,0.0,713.0,0.0
1349,0.0,1442.0,0.0
1348,0.0,1689.0,0.0
1350,0.0,981.0,0.0
1358,0.0,1028.0,1660.06726
1397,0.0,547.0,121.91028
1399,0.0,711.0,968.60461
2,0.0,11.0,0.0
4,0.0,7.0,0.0
10,408.8054460800001,111.0,0.0
11,0.0,476.0,0.0
14,606.5969196000001,0.0,0.0
16,0.0,189.0,0.0
17,0.0,417.0,0.0
19,0.0,3.0,0.0
1273,0.0,884.0,0.0
1282,0.0,2772.0,0.0
1283,0.0,688.0,2005.0152600000001
1287,0.0,593.0,0.0
1289,0.0,1530.0,1057.29822
1352,0.0,420.0,0.0
1361,0.0,180.0,0.0
1363,10355.824359440001,193.0,0.0
1356,0.0,952.0,0.0
1362,0.0,311.0,0.0
1365,0.0,612.0,0.0
21,0.0,132.0,0.0
22,0.0,13.0,0.0
108,664.8664116000002,17.0,0.0
109,0.0,349.0,0.0
110,0.0,59.0,0.0
216,0.0,312.0,1617.8486300000006
395,0.0,301.0,0.0
397,0.0,201.0,0.0
399,0.0,0.0,0.0
406,0.0,1.0,0.0
408,0.0,0.0,0.0
411,0.0,0.0,0.0
417,0.0,0.0,0.0
418,0.0,175.0,0.0
428,0.0,84.0,0.0
429,0.0,0.0,0.0
1323,0.0,1187.0,0.0
1320,0.0,568.0,0.0
1319,0.0,1766.0,0.0
1333,0.0,955.0,0.0
939,0.0,247.0,0.0
974,0.0,298.0,0.0
914,0.0,667.0,360.13457999999997
920,0.0,356.0,348.41739
921,0.0,492.0,0.0
938,0.0,777.0,0.0
944,0.0,487.0,0.0
935,0.0,609.0,0.0
931,0.0,533.0,0.0
933,0.0,1694.0,0.0
928,0.0,1099.0,0.0
927,0.0,1180.0,0.0
930,0.0,397.0,0.0
910,0.0,631.0,0.0
908,0.0,653.0,0.0
905,0.0,1405.0,0.0
897,0.0,1108.0,0.0
898,0.0,947.0,0.0
902,704.4372426400001,265.0,0.0
901,0.0,606.0,0.0
889,0.0,770.0,0.0
890,0.0,1597.0,0.0
895,0.0,1482.0,0.0
876,0.0,659.0,0.0
878,0.0,1019.0,0.0
891,0.0,1232.0,0.0
884,0.0,494.0,0.0
1005,0.0,316.0,0.0
998,0.0,592.0,0.0
1001,0.0,294.0,0.0
996,0.0,584.0,0.0
992,0.0,307.0,0.0
977,0.0,685.0,0.0
