TAZ,district,county,TOTACRE,county_id,TOTHH,HHPOP,EMPRES,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,AGE62P,SHPOP62P,TOTEMP,RETEMPN,FPSEMPN,HEREMPN,AGREMPN,MWTEMPN,OTHEMPN,RESACRE,CIACRE,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TERMINAL,TOPOLOGY,household_density,employment_density,density_index
480,10,Santa Clara,505.546848708,3,1076.0,3203.0,1470.0,77.0,100.0,75.0,824.0,103.0,720.0,625.0,1172.0,583.0,713.0,0.22260380892912893,100.0,20.0,17.0,4.0,0.0,18.0,41.0,190.33831050840993,62.0,0.0,0.0,4,0.0,0.0,0.0,1.18272,3,4.2641166845893546,0.39629337217373184,0.36259495617256415
482,10,Santa Clara,551.4854029319999,3,1384.0,4365.0,1770.0,119.0,193.0,76.0,996.0,119.0,1116.0,892.0,1488.0,750.0,916.0,0.20985108820160367,184.0,8.0,41.0,84.0,0.0,9.0,42.0,235.67114026962815,3.3521966453,0.0,0.0,4,0.0,0.0,0.0,1.18835,3,5.790229597926605,0.7697993107070054,0.6794657181240404
485,10,Santa Clara,1030.92128288,3,2093.0,6243.0,2522.0,187.0,285.0,234.0,1387.0,261.0,1883.0,1605.0,1807.0,687.0,849.0,0.1359923113887554,7156.0,355.0,327.0,262.0,0.0,4454.0,1758.0,297.8011186023824,172.85845930394882,0.0,0.0,3,0.0,0.0,0.0,1.59228,3,4.446950828686929,15.204194997651058,3.4406292712816158
459,9,Santa Clara,1019.03933661,3,2565.0,6907.0,3439.0,185.0,384.0,300.0,1696.0,374.0,1399.0,2032.0,2154.0,948.0,1224.0,0.1772115245403214,894.0,75.0,58.0,263.0,4.0,37.0,457.0,366.61381292655716,41.493409995767,0.0,0.0,4,0.0,0.0,0.0,1.2185700000000002,3,6.285112970147557,2.1906007778993826,1.6244264224665848
454,9,Santa Clara,781.357203102,3,1559.0,4301.0,2071.0,85.0,134.0,249.0,1091.0,176.0,938.0,1007.0,1379.0,801.0,1012.0,0.2352941176470588,620.0,14.0,73.0,432.0,0.0,19.0,82.0,297.23697389602415,20.650326720373002,0.0,0.0,4,0.0,0.0,0.0,1.1797799999999998,3,4.904253793646465,1.9503767492372086,1.3954278807071172
598,12,Santa Clara,820.015604309,3,1945.0,7083.0,3370.0,221.0,257.0,519.0,948.0,401.0,1212.0,2512.0,2102.0,856.0,1242.0,0.17534942820838628,277.0,18.0,15.0,33.0,0.0,61.0,150.0,239.52843382144246,87.5927620307877,0.0,0.0,4,0.0,0.0,0.0,1.52206,3,5.945808540265338,0.8467809592048835,0.7412191564597203
625,12,Santa Clara,520.7517830219999,3,1350.0,4435.0,2145.0,230.0,160.0,268.0,692.0,291.0,749.0,1497.0,1289.0,609.0,806.0,0.18173618940248026,453.0,138.0,41.0,127.0,6.0,5.0,136.0,200.35382404464107,31.584526974027,0.0,0.0,4,0.0,0.0,0.0,1.44476,3,5.820512192446096,1.9531052023541347,1.4623915824614984
622,12,Santa Clara,539.253456198,3,1533.0,5190.0,2662.0,104.0,126.0,516.0,787.0,239.0,868.0,1740.0,1796.0,547.0,849.0,0.16358381502890176,359.0,5.0,4.0,303.0,0.0,4.0,43.0,210.51054354810506,2.945664800783,0.0,0.0,4,0.0,0.0,0.0,1.23169,2,7.181800950452354,1.6818437972683595,1.3627201592031688
610,12,Santa Clara,233.077582172,3,692.0,1767.0,767.0,202.0,90.0,58.0,342.0,71.0,252.0,456.0,588.0,400.0,520.0,0.2942840973401245,339.0,140.0,11.0,0.0,0.0,136.0,52.0,45.64257605656129,30.297546571986004,0.0,0.0,4,0.0,0.0,0.0,2.13081,3,9.11244248820668,4.464043357661943,2.9962347269661147
609,12,Santa Clara,732.700334509,3,1434.0,5147.0,2272.0,142.0,155.0,114.0,1023.0,340.0,1036.0,1513.0,1593.0,665.0,917.0,0.17816203613755585,2009.0,39.0,358.0,41.0,0.0,87.0,1484.0,208.45575225497413,68.34154583226432,0.0,0.0,4,3566.85132,0.0,0.0,1.3674600000000001,3,5.180686408102311,7.258018824182386,3.022944813789585
620,12,Santa Clara,449.178746396,3,1044.0,3378.0,1688.0,88.0,145.0,240.0,571.0,223.0,630.0,1156.0,1118.0,251.0,405.0,0.11989342806394315,737.0,158.0,91.0,159.0,0.0,32.0,297.0,114.96695119565334,43.3731437645839,0.0,0.0,4,0.0,0.0,0.0,1.46834,3,6.5934026391873255,4.654538070001014,2.7284321982487696
471,10,Santa Clara,581.914419676,3,1843.0,4349.0,2662.0,258.0,321.0,611.0,653.0,144.0,523.0,1684.0,1436.0,562.0,735.0,0.1690043688204185,1605.0,530.0,87.0,487.0,0.0,77.0,424.0,174.9797018408955,77.65030104289399,0.0,0.0,4,0.0,0.0,0.0,1.46912,3,7.295253845394544,6.353164634757593,3.395847570144502
470,10,Santa Clara,801.437113755,3,2362.0,6310.0,3542.0,183.0,218.0,607.0,1354.0,341.0,994.0,2263.0,1997.0,715.0,882.0,0.13977812995245642,1159.0,111.0,263.0,354.0,0.0,15.0,416.0,308.11194042341265,41.497167657141,0.0,0.0,4,0.0,0.0,0.0,1.22406,3,6.756116889997529,3.3151310226533175,2.2238964713169938
473,10,Santa Clara,431.59123700699996,3,2224.0,5628.0,2970.0,532.0,696.0,624.0,372.0,270.0,1118.0,2331.0,1396.0,513.0,626.0,0.11122956645344703,385.0,30.0,22.0,104.0,0.0,20.0,209.0,169.17489518691113,12.051884704677,0.0,0.0,4,0.0,0.0,0.0,1.5139,3,12.271916994444316,2.1244100912145063,1.810919142530112
468,10,Santa Clara,557.936483325,3,2189.0,5375.0,3131.0,347.0,503.0,511.0,828.0,171.0,813.0,2083.0,1713.0,595.0,795.0,0.14790697674418604,1491.0,186.0,67.0,564.0,0.0,63.0,611.0,199.02112722218442,27.952444701738,0.0,0.0,3,0.0,0.0,0.0,1.35706,3,9.64429462622069,6.569046728047075,3.9075117629606106
504,10,Santa Clara,1182.23200588,3,1612.0,3508.0,2236.0,156.0,226.0,290.0,940.0,124.0,469.0,1314.0,1282.0,319.0,448.0,0.12770809578107184,8321.0,1359.0,1235.0,665.0,6.0,1594.0,3462.0,163.58001588494122,272.02970431078904,0.0,0.0,2,0.0,0.0,0.0,1.81265,3,3.7005602154049466,19.101961260784467,3.1000061967567265
503,10,Santa Clara,657.242458562,3,2072.0,4890.0,2898.0,405.0,376.0,367.0,924.0,152.0,742.0,1536.0,1604.0,856.0,994.0,0.2032719836400818,1427.0,228.0,138.0,451.0,0.0,61.0,549.0,217.30304240652492,52.78637637748682,0.0,0.0,3,0.0,0.0,0.0,1.43255,3,7.6715334104108726,5.283435413444168,3.1286876755233823
501,10,Santa Clara,511.765053453,3,1330.0,3879.0,1897.0,144.0,186.0,199.0,801.0,142.0,857.0,947.0,1343.0,590.0,770.0,0.19850476927043054,331.0,170.0,26.0,68.0,0.0,7.0,60.0,219.7431458420388,9.361479333015,0.0,0.0,4,0.0,0.0,0.0,1.16282,3,5.8052079873279565,1.4447547697786116,1.1568475880828137
