tour_id,person_id,tour_type,tour_type_count,tour_type_num,tour_num,tour_count,tour_category,number_of_participants,destination,origin,household_id,start,end,duration,tdd,composition,tour_mode,atwork_subtour_frequency,parent_tour_id,stop_frequency,primary_purpose
121094546,2953525,social,1,1,1,1,joint,3,821.0,845.0,1028131,11.0,16.0,5.0,104.0,adults,SHARED3FREE,,,0out_0in,social
69568657,1696796,social,1,1,1,1,joint,2,700.0,704.0,589304,9.0,11.0,2.0,72.0,adults,SHARED2FREE,,,0out_0in,social
278256318,6786739,shopping,1,1,1,1,joint,2,1337.0,1347.0,2546819,11.0,13.0,2.0,101.0,mixed,SHARED2FREE,,,0out_0in,shopping
122777143,2994565,shopping,1,1,1,1,joint,2,842.0,831.0,1107353,9.0,16.0,7.0,77.0,mixed,SHARED2FREE,,,0out_0in,shopping
285145302,6954764,shopping,1,1,1,1,joint,3,1374.0,1374.0,2617160,18.0,21.0,3.0,172.0,mixed,WALK,,,0out_0in,shopping
98381112,2399539,eatout,1,1,1,1,joint,2,986.0,968.0,800261,9.0,18.0,9.0,79.0,adults,SHARED2FREE,,,0out_1in,eatout
38501324,939056,othmaint,1,1,1,1,non_mandatory,1,371.0,394.0,426909,8.0,17.0,9.0,63.0,,SHARED2FREE,,,0out_0in,othmaint
38501370,939057,shopping,1,1,1,1,non_mandatory,1,466.0,394.0,426909,18.0,22.0,4.0,173.0,,SHARED2FREE,,,0out_1in,shopping
82913303,2022275,othmaint,1,1,1,2,non_mandatory,1,1269.0,1269.0,692689,12.0,15.0,3.0,115.0,,DRIVEALONEFREE,,,0out_0in,othmaint
82913300,2022275,othdiscr,1,1,2,2,non_mandatory,1,1267.0,1269.0,692689,10.0,12.0,2.0,87.0,,SHARED3FREE,,,1out_0in,othdiscr
99475745,2426237,othmaint,1,1,1,1,non_mandatory,1,900.0,883.0,924048,18.0,19.0,1.0,170.0,,BIKE,,,0out_0in,othmaint
101517304,2476031,shopping,1,1,1,1,non_mandatory,1,892.0,890.0,904095,17.0,18.0,1.0,163.0,,DRIVEALONEFREE,,,0out_0in,shopping
106337423,2593595,othmaint,1,1,1,1,non_mandatory,1,968.0,859.0,1078200,9.0,12.0,3.0,73.0,,SHARED2FREE,,,0out_1in,othmaint
133030328,3244642,eatout,1,1,1,1,non_mandatory,1,821.0,790.0,1158346,21.0,21.0,0.0,184.0,,DRIVEALONEFREE,,,0out_0in,eatout
161290994,3933926,othmaint,1,1,1,3,non_mandatory,1,222.0,224.0,1447106,10.0,13.0,3.0,88.0,,SHARED3FREE,,,0out_0in,othmaint
161290991,3933926,othdiscr,1,1,2,3,non_mandatory,1,11.0,224.0,1447106,18.0,23.0,5.0,174.0,,SHARED3FREE,,,0out_0in,othdiscr
161290972,3933926,eatout,1,1,3,3,non_mandatory,1,225.0,224.0,1447106,13.0,17.0,4.0,128.0,,BIKE,,,0out_0in,eatout
165581297,4038568,escort,1,1,1,1,non_mandatory,1,205.0,196.0,1398514,18.0,19.0,1.0,170.0,,SHARED2FREE,,,0out_0in,escort
234843195,5727882,shopping,1,1,1,3,non_mandatory,1,10.0,30.0,2069583,12.0,13.0,1.0,113.0,,DRIVEALONEFREE,,,0out_1in,shopping
234843190,5727882,othmaint,1,1,2,3,non_mandatory,1,33.0,30.0,2069583,8.0,12.0,4.0,58.0,,WALK,,,0out_0in,othmaint
234843187,5727882,othdiscr,1,1,3,3,non_mandatory,1,34.0,30.0,2069583,15.0,16.0,1.0,146.0,,DRIVEALONEFREE,,,0out_0in,othdiscr
263478292,6426299,shopping,1,1,1,1,non_mandatory,1,1405.0,1404.0,2399706,14.0,14.0,0.0,135.0,,DRIVEALONEFREE,,,0out_2in,shopping
266088475,6489962,shopping,1,1,1,1,non_mandatory,1,1428.0,1431.0,2430298,15.0,15.0,0.0,145.0,,SHARED3FREE,,,0out_0in,shopping
268144625,6540112,shopping,1,1,1,1,non_mandatory,1,1444.0,1444.0,2467322,15.0,15.0,0.0,145.0,,BIKE,,,0out_0in,shopping
275835036,6727683,shopping,1,1,1,1,non_mandatory,1,1320.0,1323.0,2495360,11.0,21.0,10.0,109.0,,DRIVEALONEFREE,,,1out_0in,shopping
183581215,4477590,othdiscr,1,1,1,1,non_mandatory,1,369.0,340.0,1617989,6.0,8.0,2.0,21.0,,DRIVEALONEFREE,,,0out_0in,othdiscr
278366827,6789434,shopping,1,1,1,3,non_mandatory,1,1344.0,1337.0,2537555,10.0,13.0,3.0,88.0,,DRIVEALONEFREE,,,2out_3in,shopping
278366819,6789434,othdiscr,1,1,2,3,non_mandatory,1,1337.0,1337.0,2537555,17.0,19.0,2.0,164.0,,DRIVEALONEFREE,,,1out_0in,othdiscr
278366800,6789434,eatout,1,1,3,3,non_mandatory,1,1337.0,1337.0,2537555,13.0,14.0,1.0,125.0,,SHARED2FREE,,,0out_0in,eatout
11211314,273446,othmaint,1,1,1,3,non_mandatory,1,674.0,686.0,79447,9.0,13.0,4.0,74.0,,DRIVEALONEFREE,,,0out_0in,othmaint
11211292,273446,eatout,1,1,2,3,non_mandatory,1,465.0,686.0,79447,14.0,20.0,6.0,141.0,,DRIVEALONEFREE,,,0out_1in,eatout
11211322,273446,social,1,1,3,3,non_mandatory,1,519.0,686.0,79447,13.0,13.0,0.0,124.0,,SHARED3FREE,,,0out_0in,social
44100248,1075615,shopping,1,1,1,1,non_mandatory,1,415.0,443.0,267572,15.0,19.0,4.0,149.0,,DRIVEALONEFREE,,,2out_2in,shopping
52310329,1275861,othmaint,1,1,1,1,non_mandatory,1,463.0,492.0,381506,10.0,10.0,0.0,85.0,,DRIVEALONEFREE,,,0out_0in,othmaint
58212284,1419811,shopping,1,1,1,1,non_mandatory,1,415.0,376.0,456645,12.0,13.0,1.0,113.0,,DRIVEALONEFREE,,,0out_0in,shopping
101517321,2476032,escort,2,1,1,5,non_mandatory,1,888.0,890.0,904095,14.0,14.0,0.0,135.0,,WALK,,,0out_0in,escort
101517322,2476032,escort,2,2,2,5,non_mandatory,1,887.0,890.0,904095,16.0,17.0,1.0,155.0,,SHARED3FREE,,,0out_0in,escort
101517340,2476032,othmaint,2,1,3,5,non_mandatory,1,888.0,890.0,904095,7.0,11.0,4.0,41.0,,DRIVEALONEFREE,,,0out_0in,othmaint
101517341,2476032,othmaint,2,2,4,5,non_mandatory,1,845.0,890.0,904095,14.0,14.0,0.0,135.0,,SHARED2FREE,,,0out_0in,othmaint
101517318,2476032,eatout,1,1,5,5,non_mandatory,1,834.0,890.0,904095,12.0,14.0,2.0,114.0,,SHARED2FREE,,,0out_0in,eatout
106337382,2593594,othmaint,2,1,1,2,non_mandatory,1,952.0,859.0,1078200,9.0,12.0,3.0,73.0,,DRIVEALONEFREE,,,0out_0in,othmaint
106337383,2593594,othmaint,2,2,2,2,non_mandatory,1,950.0,859.0,1078200,14.0,15.0,1.0,136.0,,DRIVEALONEFREE,,,0out_0in,othmaint
113110604,2758795,escort,2,1,1,4,non_mandatory,1,894.0,869.0,1047096,8.0,8.0,0.0,54.0,,SHARED2FREE,,,0out_1in,escort
113110605,2758795,escort,2,2,2,4,non_mandatory,1,870.0,869.0,1047096,15.0,18.0,3.0,148.0,,SHARED3FREE,,,0out_1in,escort
113110628,2758795,shopping,1,1,3,4,non_mandatory,1,848.0,869.0,1047096,12.0,13.0,1.0,113.0,,DRIVEALONEFREE,,,0out_1in,shopping
113110620,2758795,othdiscr,1,1,4,4,non_mandatory,1,934.0,869.0,1047096,20.0,21.0,1.0,181.0,,WALK_EXP,,,0out_0in,othdiscr
122777174,2994565,escort,2,1,1,2,non_mandatory,1,848.0,831.0,1107353,5.0,5.0,0.0,0.0,,SHARED2FREE,,,0out_0in,escort
122777175,2994565,escort,2,2,2,2,non_mandatory,1,812.0,831.0,1107353,17.0,17.0,0.0,162.0,,SHARED3FREE,,,1out_0in,escort
133030314,3244641,shopping,1,1,1,1,non_mandatory,1,796.0,790.0,1158346,10.0,13.0,3.0,88.0,,DRIVEALONEFREE,,,0out_0in,shopping
165581485,4038572,shopping,1,1,1,1,non_mandatory,1,19.0,196.0,1398514,9.0,10.0,1.0,71.0,,DRIVEALONEFREE,,,0out_0in,shopping
245297785,5982872,shopping,1,1,1,1,non_mandatory,1,40.0,106.0,2173273,12.0,13.0,1.0,113.0,,SHARED3FREE,,,1out_0in,shopping
278256332,6786739,shopping,1,1,1,2,non_mandatory,1,1380.0,1347.0,2546819,14.0,16.0,2.0,137.0,,DRIVEALONEFREE,,,0out_1in,shopping
278256327,6786739,othmaint,1,1,2,2,non_mandatory,1,1382.0,1347.0,2546819,20.0,21.0,1.0,181.0,,DRIVEALONEFREE,,,0out_0in,othmaint
283230980,6908072,othmaint,1,1,1,1,non_mandatory,1,1381.0,1381.0,2631272,11.0,14.0,3.0,102.0,,DRIVEALONEFREE,,,0out_0in,othmaint
52310269,1275860,escort,1,1,1,1,non_mandatory,1,459.0,492.0,381506,15.0,16.0,1.0,146.0,,SHARED3FREE,,,0out_0in,escort
98381132,2399539,shopping,1,1,1,1,non_mandatory,1,946.0,968.0,800261,18.0,18.0,0.0,169.0,,DRIVEALONEFREE,,,0out_2in,shopping
111155024,2711098,eatout,1,1,1,1,non_mandatory,1,1014.0,1027.0,945984,14.0,17.0,3.0,138.0,,DRIVEALONEFREE,,,0out_0in,eatout
121094558,2953525,shopping,1,1,1,2,non_mandatory,1,991.0,845.0,1028131,18.0,19.0,1.0,170.0,,DRIVEALONEFREE,,,0out_2in,shopping
121094553,2953525,othmaint,1,1,2,2,non_mandatory,1,836.0,845.0,1028131,8.0,11.0,3.0,57.0,,DRIVEALONEFREE,,,1out_2in,othmaint
121094591,2953526,othdiscr,1,1,1,1,non_mandatory,1,850.0,845.0,1028131,21.0,22.0,1.0,185.0,,SHARED2FREE,,,0out_1in,othdiscr
125146744,3052359,othdiscr,1,1,1,2,non_mandatory,1,830.0,813.0,1132106,18.0,18.0,0.0,169.0,,DRIVEALONEFREE,,,0out_0in,othdiscr
125146725,3052359,eatout,1,1,2,2,non_mandatory,1,733.0,813.0,1132106,12.0,15.0,3.0,115.0,,DRIVEALONEFREE,,,0out_0in,eatout
145386107,3546002,othdiscr,1,1,1,2,non_mandatory,1,1176.0,733.0,1266632,19.0,22.0,3.0,178.0,,DRIVEALONEFREE,,,0out_0in,othdiscr
145386088,3546002,eatout,1,1,2,2,non_mandatory,1,736.0,733.0,1266632,16.0,16.0,0.0,154.0,,SHARED3FREE,,,1out_0in,eatout
169071446,4123693,shopping,2,1,1,2,non_mandatory,1,212.0,243.0,1471762,11.0,13.0,2.0,101.0,,DRIVEALONEFREE,,,0out_0in,shopping
169071447,4123693,shopping,2,2,2,2,non_mandatory,1,240.0,243.0,1471762,15.0,16.0,1.0,146.0,,DRIVEALONEFREE,,,0out_0in,shopping
216964320,5291812,othmaint,1,1,1,1,non_mandatory,1,1136.0,1166.0,1871068,9.0,13.0,4.0,74.0,,DRIVEALONEFREE,,,0out_2in,othmaint
232661044,5674659,othdiscr,1,1,1,1,non_mandatory,1,7.0,27.0,2058761,8.0,13.0,5.0,59.0,,WALK,,,0out_0in,othdiscr
247832788,6044702,eatout,1,1,1,1,non_mandatory,1,88.0,176.0,2272676,15.0,15.0,0.0,145.0,,SHARED2FREE,,,1out_0in,eatout
247832851,6044703,othmaint,1,1,1,1,non_mandatory,1,171.0,176.0,2272676,10.0,11.0,1.0,86.0,,SHARED2FREE,,,0out_0in,othmaint
263478251,6426298,shopping,1,1,1,2,non_mandatory,1,1440.0,1404.0,2399706,11.0,12.0,1.0,100.0,,DRIVEALONEFREE,,,0out_0in,shopping
263478224,6426298,eatout,1,1,2,2,non_mandatory,1,1328.0,1404.0,2399706,17.0,20.0,3.0,165.0,,DRIVEALONEFREE,,,0out_0in,eatout
263478333,6426300,shopping,1,1,1,3,non_mandatory,1,1331.0,1404.0,2399706,10.0,15.0,5.0,90.0,,DRIVEALONEFREE,,,1out_0in,shopping
263478328,6426300,othmaint,1,1,2,3,non_mandatory,1,1437.0,1404.0,2399706,15.0,15.0,0.0,145.0,,DRIVEALONEFREE,,,0out_0in,othmaint
263478306,6426300,eatout,1,1,3,3,non_mandatory,1,1430.0,1404.0,2399706,7.0,10.0,3.0,40.0,,SHARED2FREE,,,1out_0in,eatout
287597403,7014570,shopping,1,1,1,2,non_mandatory,1,1358.0,1359.0,2574413,13.0,15.0,2.0,126.0,,WALK,,,0out_0in,shopping
287597376,7014570,eatout,1,1,2,2,non_mandatory,1,1380.0,1359.0,2574413,20.0,21.0,1.0,181.0,,DRIVEALONEFREE,,,0out_1in,eatout
287597444,7014571,shopping,1,1,1,1,non_mandatory,1,1356.0,1359.0,2574413,15.0,16.0,1.0,146.0,,DRIVEALONEFREE,,,0out_1in,shopping
253584131,6184978,shopping,1,1,1,1,non_mandatory,1,149.0,161.0,2257814,18.0,19.0,1.0,170.0,,DRIVEALONEFREE,,,0out_0in,shopping
278366860,6789435,othdiscr,1,1,1,2,non_mandatory,1,1337.0,1337.0,2537555,14.0,16.0,2.0,137.0,,SHARED2FREE,,,0out_1in,othdiscr
278366841,6789435,eatout,1,1,2,2,non_mandatory,1,1345.0,1337.0,2537555,10.0,13.0,3.0,88.0,,SHARED3FREE,,,0out_1in,eatout
283230756,6908067,escort,1,1,1,1,non_mandatory,1,1379.0,1381.0,2631272,16.0,17.0,1.0,155.0,,SHARED3FREE,,,0out_0in,escort
283230895,6908070,othdiscr,1,1,1,1,non_mandatory,1,1380.0,1381.0,2631272,16.0,20.0,4.0,158.0,,SHARED2FREE,,,0out_0in,othdiscr
165581436,4038571,othdiscr,1,1,1,1,non_mandatory,1,83.0,196.0,1398514,18.0,20.0,2.0,171.0,,SHARED3FREE,,,0out_0in,othdiscr
58212214,1419810,eat,1,1,1,1,atwork,1,529.0,530.0,456645,14.0,14.0,0.0,135.0,,DRIVEALONEFREE,,58212249.0,0out_0in,atwork
94324604,2300600,eat,1,1,1,1,atwork,1,2.0,73.0,820554,11.0,13.0,2.0,101.0,,DRIVEALONEFREE,,94324639.0,0out_0in,atwork
99475721,2426237,eat,1,1,1,1,atwork,1,870.0,870.0,924048,15.0,15.0,0.0,145.0,,WALK,,99475756.0,0out_0in,atwork
101517294,2476031,maint,1,1,1,1,atwork,1,1040.0,1014.0,904095,14.0,14.0,0.0,135.0,,DRIVEALONEFREE,,101517310.0,0out_0in,atwork
165581329,4038569,business,1,1,1,1,atwork,1,212.0,237.0,1398514,12.0,14.0,2.0,114.0,,DRIVEALONEFREE,,165581368.0,0out_0in,atwork
245477623,5987259,eat,1,1,1,1,atwork,1,2.0,118.0,2173093,10.0,10.0,0.0,85.0,,DRIVEALONEFREE,,245477658.0,0out_0in,atwork
266088446,6489962,eat,1,1,1,1,atwork,1,1430.0,1427.0,2430298,10.0,10.0,0.0,85.0,,WALK,,266088481.0,1out_0in,atwork
268144596,6540112,eat,1,1,1,1,atwork,1,1441.0,1441.0,2467322,9.0,11.0,2.0,72.0,,WALK,,268144631.0,0out_0in,atwork
2454873,59874,work,1,1,1,1,mandatory,1,539.0,540.0,6585,7.0,18.0,11.0,48.0,,WALK,no_subtours,,0out_1in,work
8079950,197071,work,1,1,1,1,mandatory,1,506.0,566.0,97615,7.0,17.0,10.0,47.0,,DRIVEALONEFREE,no_subtours,,0out_0in,work
8079983,197072,school,1,1,1,1,mandatory,1,654.0,566.0,97615,7.0,17.0,10.0,47.0,,SHARED3FREE,,,0out_0in,school
8080032,197073,work,1,1,1,1,mandatory,1,540.0,566.0,97615,7.0,17.0,10.0,47.0,,SHARED2FREE,no_subtours,,0out_0in,work
8080073,197074,work,1,1,1,1,mandatory,1,490.0,566.0,97615,7.0,17.0,10.0,47.0,,DRIVEALONEFREE,no_subtours,,0out_0in,work
8363260,203981,work,1,1,1,1,mandatory,1,598.0,528.0,49880,11.0,20.0,9.0,108.0,,SHARED3FREE,no_subtours,,0out_0in,work
8363342,203983,work,1,1,1,1,mandatory,1,652.0,528.0,49880,7.0,18.0,11.0,48.0,,DRIVEALONEFREE,no_subtours,,0out_0in,work
12340908,300997,school,1,1,1,1,mandatory,1,674.0,679.0,559917,7.0,15.0,8.0,45.0,,SHARED3FREE,,,0out_0in,school
12868381,313862,work,1,1,1,1,mandatory,1,567.0,530.0,58262,8.0,17.0,9.0,63.0,,WALK_LOC,no_subtours,,0out_0in,work
15828171,386052,work,1,1,1,1,mandatory,1,504.0,519.0,80671,6.0,18.0,12.0,31.0,,DRIVEALONEFREE,eat,,0out_0in,work
15828212,386053,work,1,1,1,1,mandatory,1,655.0,519.0,80671,9.0,18.0,9.0,79.0,,DRIVEALONEFREE,no_subtours,,0out_0in,work
15828245,386054,school,1,1,1,1,mandatory,1,633.0,519.0,80671,8.0,16.0,8.0,62.0,,SHARED2FREE,,,0out_0in,school
15828286,386055,school,1,1,1,1,mandatory,1,493.0,519.0,80671,7.0,12.0,5.0,42.0,,SHARED2FREE,,,0out_1in,school
18431507,449548,work,1,1,1,1,mandatory,1,532.0,656.0,539872,7.0,18.0,11.0,48.0,,SHARED2FREE,no_subtours,,0out_0in,work
18431548,449549,work,1,1,1,1,mandatory,1,582.0,656.0,539872,7.0,16.0,9.0,46.0,,DRIVEALONEFREE,eat,,0out_0in,work
18431581,449550,school,1,1,1,1,mandatory,1,571.0,656.0,539872,9.0,16.0,7.0,77.0,,SHARED2FREE,,,0out_0in,school
18431622,449551,school,1,1,1,1,mandatory,1,669.0,656.0,539872,8.0,16.0,8.0,62.0,,SHARED3FREE,,,0out_0in,school
29454275,718396,work,2,1,1,2,mandatory,1,675.0,655.0,142824,7.0,18.0,11.0,48.0,,SHARED2FREE,no_subtours,,0out_0in,work
29454276,718396,work,2,2,2,2,mandatory,1,675.0,655.0,142824,18.0,22.0,4.0,173.0,,DRIVEALONEFREE,no_subtours,,1out_0in,work
29454316,718397,work,2,1,1,2,mandatory,1,340.0,655.0,142824,7.0,16.0,9.0,46.0,,DRIVEALONEFREE,no_subtours,,0out_0in,work
29454317,718397,work,2,2,2,2,mandatory,1,340.0,655.0,142824,20.0,23.0,3.0,183.0,,DRIVEALONEFREE,no_subtours,,1out_0in,work
29454349,718398,school,1,1,1,1,mandatory,1,638.0,655.0,142824,7.0,14.0,7.0,44.0,,SHARED3FREE,,,0out_0in,school
29454390,718399,school,1,1,1,1,mandatory,1,516.0,655.0,142824,7.0,15.0,8.0,45.0,,SHARED3FREE,,,0out_0in,school
29454431,718400,school,1,1,1,1,mandatory,1,671.0,655.0,142824,8.0,14.0,6.0,60.0,,SHARED2FREE,,,0out_0in,school
41160554,1003915,work,1,1,1,1,mandatory,1,406.0,449.0,415790,9.0,17.0,8.0,78.0,,DRIVEALONEFREE,eat,,0out_0in,work
46334262,1130103,work,2,1,1,2,mandatory,1,455.0,412.0,254432,5.0,10.0,5.0,5.0,,DRIVEALONEFREE,no_subtours,,0out_1in,work
