zone_id,DISTRICT,SD,county_id,TOTHH,TOTPOP,TOTACRE,RESACRE,CIACRE,TOTEMP,AGE0519,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL
576,11,11,3,1076,4681,267.0,227.0,29.0,427,1126,71,101,98,112,0,45,0.0,0.0,4,0.0,0.0,0.0,3,1.283
577,11,11,3,1030,4989,232.0,199.0,21.0,385,1342,67,59,183,60,0,16,0.0,0.0,3,0.0,0.0,0.0,3,1.36194
578,11,11,3,2232,8264,268.0,218.0,45.0,581,2070,234,85,148,73,22,19,0.0,0.0,3,0.0,0.0,0.0,3,1.5318
579,11,11,3,738,2446,437.0,62.0,101.76068,1683,647,146,137,399,714,2,285,0.0,0.0,4,0.0,0.0,0.0,3,1.59507
580,11,11,3,1066,4674,201.0,72.0,82.0,813,1513,117,77,121,125,1,372,0.0,0.0,3,0.0,0.0,0.0,3,1.6452
581,12,12,3,1195,5625,214.0,141.0,6.0,519,1573,162,69,126,151,0,11,0.0,0.0,3,0.0,0.0,0.0,3,1.7060400000000002
582,12,12,3,1701,6762,353.0,273.0,40.0,3102,1758,485,1128,1036,394,1,58,0.0,0.0,4,0.0,0.0,0.0,3,1.69382
583,12,12,3,1409,6137,617.0,333.0,199.0,4706,1605,1686,1139,1095,583,5,198,0.0,0.0,4,147.18095,0.0,0.0,3,1.4752299999999998
584,12,12,3,833,4193,424.0,184.0,182.0,833,1048,104,106,378,169,0,76,0.0,0.0,4,0.0,0.0,0.0,3,1.19184
585,12,12,3,904,4896,187.0,138.0,19.0,392,1478,163,71,79,69,0,10,0.0,0.0,3,0.0,0.0,0.0,3,1.54008
586,12,12,3,1140,6419,274.0,196.0,78.0,795,1872,271,64,372,79,0,9,0.0,0.0,4,2436.44214,0.0,0.0,3,1.42424
587,12,12,3,354,2095,93.0,84.0,9.0,204,582,31,42,109,20,0,2,0.0,0.0,4,0.0,0.0,0.0,3,1.37839
588,12,12,3,1245,6581,248.0,209.0,18.0,240,1988,61,48,70,60,0,1,0.0,0.0,4,0.0,0.0,0.0,3,1.44062
589,12,12,3,1349,6058,256.0,157.0,27.0,423,1684,85,44,163,115,0,16,0.0,0.0,4,0.0,0.0,0.0,3,1.56145
590,12,12,3,871,4228,180.0,70.0,60.0,883,1338,291,90,268,218,0,16,0.0,0.0,4,0.0,0.0,0.0,3,1.7474599999999998
591,12,12,3,2003,8883,357.0,251.0,61.4498,616,2518,81,132,286,98,1,18,0.0,0.0,4,0.0,0.0,0.0,3,1.47023
