TAP,LINES
291,SF_21a GG_101_SB SF_21b SF_LOWL GG_054b_SB GG_030_SB SF_71L GG_070_SB SF_6 SM_292a SF_14L SM_292c SF_9 SM_292e SF_NOWL SF_71a SM_292b SF_KOWL SF_NOWLa SM_292 SM_292d SM_397a SF_14g SF_14f SF_14a SM_391c SM_391a SM_391f SM_391d GG_092_SB SF_71 SF_KOWLa SF_6e SF_6d SF_19a SF_6a GG_024b_SB SF_9a SM_KX SF_14La SF_9L SF_LOWLa SM_KXa SM_397 GG_101X_SB SF_71La SF_9La SF_9b SF_9c SF_9d SF_9e SF_9f
298,GG_101_SB GG_024a_NB GG_72XaNB GG_054c_SB GG_054c_NB SM_397 SF_14Xa SF_21 SM_292 GG_008_NB GG_024X_SB SF_14X GG_74aNB SF_38c GG_024a_SB GG_044_NB SM_292a SF_14Xb SF_5f SF_5g SM_292e GG_018_SB GG_002_SB GG_044_SB SM_292b SF_9La GG_72cSB SM_292c GG_101_NB GG_056_NB GG_76NB GG_058_NB SM_292d SM_397a SF_14g SF_14f SF_14a GG_058_SB GG_038_NB SF_14 SM_391a GG_004_NB SM_391f GG_054a_NB SM_391d GG_027b_SB SF_38 SF_14L GG_76SB SF_31 GG_72cNB GG_027c_NB SM_391c GG_027a_NB GG_027c_SB GG_030_SB SF_2a GG_027b_NB GG_018_NB SM_KX SF_38L SF_31c GG_056_SB SF_9L GG_054a_SB GG_72XaSB GG_101X_NB SF_9e GG_030_NB SF_38b SF_38a GG_027a_SB GG_070_NB GG_101X_SB SF_5e SF_9c GG_097_SB SF_9b SF_14La SF_9d SM_KXa SF_9f
322,GG_72XaNB GG_054c_NB GG_002_NB GG_044_NB GG_008_NB SF_10 GG_056_NB GG_76NB GG_058_NB GG_024X_NB SF_12 GG_024a_NB GG_038_NB GG_004_NB SF_10e SF_10d GG_054a_NB GG_72cNB GG_027c_NB SF_10a GG_027a_NB GG_027b_NB GG_018_NB GG_74aNB
333,SF_PowellHb SF_38La SF_PowellHa SF_38g SF_38f SF_38e SF_PowellM SF_38h SF_PowellMc SF_PowellMb
358,SF_28 SF_41 SF_45e SF_45d SF_45c SF_45a SF_41c SF_41b SF_19a SF_19
364,SF_108 SF_108a
373,SF_8Xa SF_8Xb SF_39 SF_8BXa SF_8Xc SF_39a SF_8BX
374,SF_16X SF_21 SF_31c SF_5h SF_5i SF_5j SF_5e SF_5f SF_5g SF_71a SF_16Xa SF_38La SF_PowellMc SF_PowellMb SF_38 AD_800c SF_31 SF_PowellHb SF_PowellHa SF_71La SF_38L SF_38c SF_38b SF_38a SF_38g SF_38f SF_38e SF_PowellM SF_38h
375,GG_72XaNB GG_054c_SB GG_054c_NB GG_002_NB GG_008_NB GG_72XaSB GG_024a_SB SF_8BX GG_044_NB GG_72cSB GG_027b_NB GG_002_SB GG_008_SB SF_47a GG_76SB GG_76NB GG_058_NB GG_044_SB GG_024a_NB GG_058_SB GG_038_NB GG_004_NB GG_054a_NB SF_39a SF_39 GG_72cNB GG_027c_NB GG_027a_NB GG_027c_SB SF_8BXa GG_018_SB GG_027b_SB SF_8Xb SF_8Xc GG_054a_SB GG_018_NB GG_004_SB GG_038_SB GG_027a_SB GG_74aNB
376,SF_8AX SF_38 SF_2 SF_3 SF_8BX SF_3a SF_2b SF_91 SF_45e SF_45d SF_45c SF_38La SF_45a SF_PowellMc SF_PowellMb SF_30i SF_30h SF_30c SF_30g SF_30a SF_PowellHb SF_30f SF_30e SF_30d SF_2a SF_PowellHa SF_38L SF_91b SF_8Xa SF_8Xb SF_38c SF_38b SF_38a SF_38g SF_38f SF_38e SF_PowellM SF_38h
389,SF_91b SF_91 SF_91c
392,GG_054c_NB GG_002_NB GG_056_NB GG_008_NB GG_044_NB GG_092_NB GG_054b_NB SF_91 SF_45e SF_45c SF_12 GG_058_NB GG_024X_NB GG_024b_NB GG_024a_NB GG_038_NB GG_004_NB GG_054a_NB SF_30c SF_30b GG_027c_NB SF_30d GG_027a_NB SF_8BXa GG_027b_NB GG_018_NB SF_8Xc SF_8AXa
