OMAZ,DMAZ,DISTBIKE
17135,17134,0.412333333
17135,17135,0.120833333
17135,17070,2.2155
17134,17125,0.811833333
17134,17139,1.760333333
17134,17134,0.235
17134,17135,0.478666667
17135,17125,1.080666667
17135,17047,2.26
17125,16760,0.532
17125,16761,0.595833333
17125,16759,0.532
17125,16770,2.021
17125,16771,2.337333333
17125,16764,1.451333333
17125,16765,0.824166667
17125,16766,1.5975
17125,16779,0.402166667
17125,16772,1.876666667
17125,16773,1.4245
17125,16774,0.218833333
17125,16775,1.1855
17125,16784,1.1845
17125,16785,1.5265
17125,16786,2.157166667
17125,16787,1.704333333
17125,16780,0.274333333
17125,16781,1.716333333
17125,16782,2.055833333
17125,16783,0.595833333
17125,16792,1.692
17125,16788,1.773333333
17125,16791,1.872
17134,16761,2.320833333
17134,16759,1.5965
17134,16760,1.6555
17134,16765,2.520333333
17134,16779,1.582
17134,16780,1.371333333
17134,16773,2.2435
17134,16774,1.158166667
17134,16775,2.0465
16501,18639,0.887833333
16502,18639,0.814666667
16486,18639,0.707333333
16485,18639,0.714
16483,18639,1.775166667
16481,18639,1.467
16493,18639,1.6295
16490,18639,0.741833333
16470,18639,1.465
16471,18639,1.119
16468,18639,1.904166667
16466,18639,2.065
16479,18639,0.9705
16476,18639,0.8685
16472,18639,0.898833333
16502,16476,1.162833333
16501,16501,0.306833333
16502,16470,1.240666667
16501,16502,0.699833333
16502,16471,0.933666667
16502,16472,0.688
16502,16481,1.925166667
16502,16479,1.264833333
16502,16490,1.034666667
16502,16485,1.042333333
16502,16486,1.001
16502,16493,1.493833333
16502,16501,0.688
16502,16502,0.080333333
16501,16466,1.984333333
16501,16472,0.651666667
16501,16468,1.6225
16500,16500,0.263666667
16501,16470,1.016333333
16501,16471,0.737333333
16501,16481,1.669666667
16501,16483,2.2325
16501,16476,1.208666667
16501,16479,1.3325
16501,16490,0.987166667
16501,16485,0.923333333
16501,16486,0.951
16502,16468,2.006333333
16501,16493,1.2975
16490,16470,1.344166667
16490,16471,1.074
16490,16472,1.024166667
16490,16466,1.9105
16490,16468,1.674833333
16490,16479,0.823
16490,16476,0.721166667
16490,16485,0.133666667
16490,16486,0.034333333
16490,16481,1.367666667
16490,16483,1.6775
16490,16484,2.057333333
16490,16493,1.642166667
16490,16490,0.017166667
16490,16501,0.9905
16490,16502,1.086333333
16485,16490,0.133666667
16485,16485,0.049666667
16485,16486,0.099333333
16486,16466,2.020166667
16486,16468,1.703
16485,16493,1.637166667
16486,16476,0.7105
16485,16501,0.9725
16486,16470,1.346833333
16485,16502,1.0505
16486,16471,1.058
16486,16472,0.9795
16486,16481,1.349666667
16486,16482,2.145666667
16486,16483,1.6185
16486,16484,2.0695
16486,16479,0.826666667
16486,16490,0.034333333
16486,16485,0.099333333
16486,16486,0.017166667
16486,16493,1.643166667
16486,16501,0.970833333
16486,16502,1.435166667
16483,16486,1.6765
16483,16482,0.767833333
16483,16483,0.182666667
16483,16484,0.722333333
16483,16485,1.720666667
16484,16466,1.289333333
16483,16490,1.627833333
16484,16471,1.815166667
16484,16473,0.813
16484,16468,1.063166667
16483,16501,2.059
16484,16470,1.271166667
16484,16479,1.71
16484,16481,0.662
16484,16482,0.0455
16484,16476,2.031
16484,16490,2.133333333
16484,16483,0.723833333
16484,16484,0.022833333
16484,16486,2.202
16485,16466,2.123333333
16485,16472,0.957166667
16485,16468,1.800833333
16485,16470,1.409333333
16485,16471,1.082166667
16485,16481,1.455833333
16485,16483,1.662166667
16485,16476,0.787833333
16485,16479,0.929
16500,16462,0.5275
16493,16493,0.370666667
16493,16501,1.156
16493,16502,1.547833333
16493,16466,1.858166667
16493,16472,1.156
16493,16468,1.631166667
16493,16470,0.881666667
16493,16471,0.741166667
16493,16481,1.539
16493,16476,1.9065
16493,16479,2.055333333
16493,16490,1.658166667
16493,16485,1.579833333
16493,16486,1.615333333
16473,16479,1.936166667
16473,16473,0.222166667
16473,16484,0.686
16473,16481,1.2015
16473,16482,0.7315
16473,16483,1.117166667
16471,16476,1.329333333
16471,16470,0.477833333
16470,16501,0.895
16471,16471,0.239
16470,16502,1.457166667
16471,16472,0.584166667
16471,16473,2.004666667
16471,16482,1.851166667
16471,16484,1.805666667
16471,16485,1.131666667
16471,16479,1.467666667
16471,16481,1.136166667
16471,16490,1.163
16471,16493,0.741166667
16471,16486,1.11
16472,16468,1.759166667
16471,16501,0.584166667
16472,16470,1.016333333
16472,16466,2.005333333
16472,16476,1.189666667
16471,16502,1.054666667
16472,16471,0.742333333
16472,16472,0.296833333
16472,16483,2.380833333
16472,16485,1.020333333
16472,16486,1.027333333
16472,16479,1.327833333
16472,16481,1.6955
16472,16493,1.3025
16472,16490,1.059166667
16473,16468,1.133166667
16472,16501,0.651666667
16473,16470,1.471833333
16472,16502,0.688666667
16473,16471,2.025833333
16473,16466,1.174
16468,16501,1.487333333
16468,16502,1.959
16470,16466,0.992333333
16470,16468,0.760833333
16470,16473,1.622166667
16470,16476,1.077
16470,16470,0.239
16470,16471,0.477833333
16470,16472,0.895
16470,16481,0.657166667
16470,16482,1.368833333
16470,16483,1.617333333
16470,16484,1.323333333
16470,16479,1.388333333
16470,16490,1.331333333
16470,16485,1.388833333
16470,16486,1.2935
16471,16466,1.457666667
16471,16468,1.225666667
16470,16493,0.881666667
16466,16501,1.745166667
16468,16466,0.229
16468,16471,1.0665
16468,16472,1.487333333
16468,16473,1.105
16468,16468,0.1145
16468,16470,0.566333333
16468,16479,1.844666667
16468,16481,1.081166667
16468,16482,1.2685
16468,16476,1.535166667
16468,16490,1.785166667
16468,16483,1.683833333
16468,16484,1.222666667
16468,16485,1.9005
16468,16486,1.819666667
16468,16493,1.470333333
16481,16484,0.664666667
16481,16485,1.371666667
16481,16486,1.288
16481,16481,0.332333333
16481,16482,0.710333333
16481,16483,0.989166667
16481,16493,1.669666667
16481,16490,1.405666667
16481,16501,1.672166667
16482,16470,1.358333333
16481,16502,2.308666667
16482,16471,1.975666667
16482,16466,1.266666667
16482,16468,1.2155
16482,16479,1.709166667
16482,16473,0.7465
16482,16476,1.889166667
16482,16486,2.053
16482,16481,0.7075
16482,16482,0.022833333
16482,16483,0.869666667
16482,16484,0.0455
16483,16470,1.630333333
16483,16472,2.031166667
16483,16473,1.0895
16483,16466,1.6135
16483,16468,1.424666667
16483,16479,1.046666667
16483,16481,0.882
16483,16476,1.610666667
16479,16482,1.519833333
16479,16483,0.924333333
16479,16484,1.474333333
16479,16485,0.89
16479,16479,0.3465
16479,16481,1.635
16479,16490,0.832833333
16479,16493,2.2165
16479,16486,0.800833333
16479,16501,1.200333333
16479,16502,1.299833333
16481,16468,0.981666667
16481,16470,0.7585
16481,16471,1.292666667
16481,16466,1.242
16481,16476,1.057
16481,16479,1.478
16481,16472,1.672666667
16481,16473,1.257333333
16479,16466,2.089
16479,16468,1.945
16479,16476,0.693166667
16479,16470,1.5645
16479,16471,1.450833333
16479,16472,1.200333333
16479,16473,1.8515
16476,16466,1.622666667
16476,16471,1.341833333
16476,16472,1.098333333
16476,16468,1.401
16476,16470,1.121666667
16476,16479,0.773166667
16476,16481,1.296833333
16476,16482,2.023166667
16476,16476,0.343333333
16476,16490,0.721166667
16476,16483,1.453
16476,16484,1.977666667
16476,16485,0.786166667
16476,16486,0.686666667
16476,16493,1.901833333
16476,16501,1.098333333
16476,16502,1.145166667
16466,16470,0.868
16466,16471,1.340833333
16466,16472,1.745166667
16466,16466,0.1145
16466,16468,0.229
16466,16479,2.198666667
16466,16473,1.172833333
