MAZ,TAZ,COUNTY,DISTRICT,SD,TOTHH,TOTPOP,TOTACRE,RESACRE,CIACRE,TOTEMP,AGE0519,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,totint,popden,retempden,access_dist_transit
100542,3314,1,1,1,108,273,5.6145,2.2458,3.3687,10,50,0,0,9,1,0,0,0,0,4,0,0.0,0.0,1,1,217.0,32.464,1.7837,0.333
100543,3314,1,1,1,68,151,4.749,1.8996,2.8494,4,30,0,0,3,1,0,0,0,0,4,0,0.0,0.0,1,1,217.0,32.464,1.7837,0.333
100544,3277,1,1,1,42,111,4.7321,1.89284,2.83926,51,15,48,0,3,0,0,0,0,0,4,0,0.0,0.0,1,1,241.0,22.6669,1.5352,0.333
100545,3277,1,1,1,105,244,6.8899,2.75596,4.13394,18,37,4,3,8,3,0,0,0,0,4,0,0.0,0.0,1,1,244.0,24.3169,1.8416,0.333
100546,3277,1,1,1,73,158,4.5582,1.82328,2.73492,68,28,0,35,0,33,0,0,0,0,4,0,0.0,0.0,1,1,227.0,23.2576,1.484,0.333
100547,3277,1,1,1,0,0,4.6318,1.85272,2.77908,0,0,0,0,0,0,0,0,0,0,4,0,0.0,0.0,1,1,230.0,21.1832,1.5683,0.333
100548,3277,1,1,1,28,74,9.366,3.7464,5.619599999999999,49,14,0,0,49,0,0,0,0,0,4,0,0.0,0.0,1,1,210.0,25.3228,1.6071,0.333
100549,3277,1,1,1,29,71,2.8011,1.12044,1.6806599999999998,0,18,0,0,0,0,0,0,0,0,4,0,0.0,0.0,1,1,198.0,27.7333,1.6397,0.333
100550,3277,1,1,1,109,243,6.8081,2.72324,4.08486,9,37,0,0,8,1,0,0,0,0,4,0,0.0,0.0,1,1,233.0,30.3399,1.737,0.333
100551,3261,1,1,1,213,484,11.472,4.5888,6.8832,67,90,12,0,6,44,5,0,0,0,4,0,0.0,0.0,1,1,255.0,27.0309,1.7426,0.333
100552,3261,1,1,1,5,18,3.4311,1.37244,2.05866,169,2,164,0,5,0,0,0,0,0,4,0,0.0,0.0,1,1,256.0,24.9474,1.5561,0.333
100553,3290,1,1,1,170,392,8.0828,3.2331200000000004,4.84968,51,67,17,17,15,2,0,0,0,0,4,0,0.0,0.0,1,1,243.0,30.3369,1.6019,0.333
100554,3290,1,1,1,222,508,11.32,4.5280000000000005,6.792,29,86,8,9,9,3,0,0,0,0,4,0,0.0,0.0,1,1,270.0,27.4531,1.7095,0.333
100555,3259,1,1,1,118,269,7.0262,2.81048,4.21572,120,58,58,2,56,4,0,0,0,0,4,0,0.0,0.0,1,1,231.0,26.3695,2.1318,0.333
100556,3289,1,1,1,216,472,14.2431,5.697240000000001,8.54586,102,80,24,13,52,13,0,0,0,0,4,0,0.0,0.0,1,1,245.0,26.6419,1.7422,0.333
100557,3289,1,1,1,20,51,3.4403,1.3761200000000002,2.06418,118,14,20,11,87,0,0,0,0,0,4,0,0.0,0.0,1,1,270.0,23.797,1.5507,0.333
100558,3289,1,1,1,0,0,8.5714,3.4285600000000005,5.1428400000000005,30,0,2,3,25,0,0,0,0,0,4,0,0.0,0.0,1,1,261.0,29.1713,1.602,0.333
100559,3259,1,1,1,143,321,9.3062,3.722480000000001,5.5837200000000005,29,49,6,0,3,2,0,18,0,0,4,0,0.0,0.0,1,1,194.0,24.622,1.843,0.333
100560,3259,1,1,1,333,806,13.0215,5.208600000000001,7.812899999999999,95,128,27,10,53,5,0,0,0,0,4,0,0.0,0.0,1,1,211.0,27.2086,1.9587,0.333
100561,3261,1,1,1,93,227,5.8927,2.35708,3.53562,25,43,19,2,3,1,0,0,0,0,4,0,0.0,0.0,1,1,232.0,22.371,1.4579,0.333
100562,3261,1,1,1,215,489,12.2828,4.91312,7.36968,148,80,131,8,6,3,0,0,0,0,4,0,0.0,0.0,1,1,230.0,20.7346,1.2966,0.333
100563,3261,1,1,1,125,312,5.2356,2.09424,3.14136,65,71,63,0,0,2,0,0,0,0,4,0,0.0,0.0,1,1,244.0,23.8077,1.1933,0.333
100564,3259,1,1,1,331,759,19.4876,7.79504,11.69256,174,129,38,20,16,75,7,18,0,0,4,0,0.0,0.0,1,1,188.0,27.1883,2.075,0.333
100565,3259,1,1,1,62,137,5.9346,2.37384,3.56076,46,24,17,12,6,11,0,0,0,0,4,0,0.0,0.0,1,1,222.0,22.9012,1.7223,0.333
100566,3148,1,1,1,80,180,60.9379,24.37516,36.56274,3,27,0,1,0,2,0,0,0,0,4,0,0.0,0.0,1,1,112.0,10.6875,0.6202,0.333
100567,3148,1,1,1,80,191,59.2369,23.69476,35.54214,1,25,0,0,0,1,0,0,0,0,4,0,0.0,0.0,1,1,108.0,16.4641,0.8998,0.333
100568,3148,1,1,1,59,120,10.8352,4.33408,6.50112,6,16,0,0,5,1,0,0,0,0,4,0,0.0,0.0,1,1,144.0,18.3842,1.3699,0.333
100569,3148,1,1,1,85,203,12.6161,5.0464400000000005,7.569659999999999,32,34,0,16,0,16,0,0,0,0,4,0,0.0,0.0,1,1,170.0,16.4239,1.1506,0.333
100570,3148,1,1,1,114,259,23.7042,9.48168,14.22252,8,37,0,0,6,2,0,0,0,0,4,0,0.0,0.0,1,1,153.0,22.6897,2.1353,0.333
100571,3148,1,1,1,49,138,8.4413,3.37652,5.06478,1,21,0,0,0,1,0,0,0,0,4,0,0.0,0.0,1,1,136.0,13.5605,1.1572,0.333
