Description,Expression,Alternatives,EatOut,OthDiscr,OthMaint,Shopping,Social,Escort,School,University,Work,WorkBased
Walk to Transit tour mode ASC -- ferry -- Joint Tours,1,WALK_LRF,0.646576124,0.646576124,0.646576124,0.646576124,0.646576124,,,,,
Walk to Transit tour mode ASC -- express bus -- Joint Tours,1,WALK_EXP,0.664833712,0.664833712,0.664833712,0.664833712,0.664833712,,,,,
Walk to Transit tour mode ASC -- heavy rail -- Joint Tours,1,WALK_HVY,0.540251582,0.540251582,0.540251582,0.540251582,0.540251582,,,,,
Walk to Transit tour mode ASC -- commuter rail -- Joint Tours,1,WALK_COM,0.512907922,0.512907922,0.512907922,0.512907922,0.512907922,,,,,
Walk to Transit tour mode ASC -- shared ride 2 -- Joint Tours,1,"SHARED2FREE,SHARED2PAY",-14.91337562,-14.980078,-5.323041523,-21.57680789,-20.50219117,,,,,
Walk to Transit tour mode ASC -- shared ride 3+ -- Joint Tours,1,"SHARED3FREE,SHARED3PAY",-16.75871971,-16.73544152,-3.956326423,-25.59527406,-34.73775409,,,,,
Walk to Transit tour mode ASC -- walk -- Joint Tours,1,WALK,2.301660759,-0.002432941,1.187563236,-0.547227887,-2.130052251,,,,,
Drive to Transit tour mode ASC -- light rail -- Joint Tours,1,DRIVE_LRF,0.539212005,0.539212005,0.539212005,0.539212005,0.539212005,,,,,
Drive to Transit tour mode ASC -- ferry -- Joint Tours,1,DRIVE_LRF,0.646576124,0.646576124,0.646576124,0.646576124,0.646576124,,,,,
Drive to Transit tour mode ASC -- express bus -- Joint Tours,1,DRIVE_EXP,0.664833712,0.664833712,0.664833712,0.664833712,0.664833712,,,,,
Drive to Transit tour mode ASC -- heavy rail -- Joint Tours,1,DRIVE_HVY,0.540251582,0.540251582,0.540251582,0.540251582,0.540251582,,,,,
Drive to Transit tour mode ASC -- commuter rail -- Joint Tours,1,DRIVE_COM,0.512907922,0.512907922,0.512907922,0.512907922,0.512907922,,,,,
Walk not available for long distances,(tourMode!=7)*(walk_dist>3),WALK,1,1,1,1,1,1,1,1,1,1
Bike not available for long distances,(tourMode!=8)*(bike_dist>8),BIKE,1,1,1,1,1,1,1,1,1,1
"Origin density index, walk, bike, walk-transit","max(c_originDensityIndex*originDensityIndex,c_originDensityIndexMax)","WALK,BIKE,WALK_LOC,WALK_LRF,WALK_EXP,WALK_HVY,WALK_COM","max(c_originDensityIndex*originDensityIndex,c_originDensityIndexMax)","max(c_originDensityIndex*originDensityIndex,c_originDensityIndexMax)","max(c_originDensityIndex*originDensityIndex,c_originDensityIndexMax)","max(c_originDensityIndex*originDensityIndex,c_originDensityIndexMax)","max(c_originDensityIndex*originDensityIndex,c_originDensityIndexMax)","max(c_originDensityIndex*originDensityIndex,c_originDensityIndexMax)","max(c_originDensityIndex*originDensityIndex,c_originDensityIndexMax)","max(c_originDensityIndex*originDensityIndex,c_originDensityIndexMax)","max(c_originDensityIndex*originDensityIndex,c_originDensityIndexMax)","max(c_originDensityIndex*originDensityIndex,c_originDensityIndexMax)"
Walk-express penalty for intermediate stops,1,WALK_EXP,-0.279,-0.279,-0.279,-0.279,-0.279,-0.279,-0.271,-0.271,-0.22,-0.279
