Description,Expression,Alternatives,EatOut,OthDiscr,OthMaint,Shopping,Social,Escort,School,University,Work,WorkBased
Walk to Express bus - Fare ,c_cost*WLK_EXP_WLK_FAR[tripPeriod],WALK_EXP,1,1,1,1,1,1,1,1,1,1
Walk to Express bus - Destination zone densityIndex,c_densityIndex*densityIndex,WALK_EXP,1,1,1,1,1,1,1,1,1,1
Walk to Express bus - Topology,c_topology_trn*tripTopology,WALK_EXP,1,1,1,1,1,1,1,1,1,1
Walk to Express bus - Person is less than 10 years old,c_age010_trn,WALK_EXP,1,1,1,1,1,1,1,1,1,1
Walk to heavy rail - Unavailable,walkHeavyRailAvailable==0,WALK_HVY,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Walk to heavy rail - In-vehicle time,c_ivt*WLK_HVY_WLK_TOTIVT[tripPeriod]/100,WALK_HVY,1,1,1,1,1,1,1,1,1,1
Walk to heavy rail - In-vehicle time on heavy rail (incremental w/ ivt),(c_ivt_hvy-c_ivt)*WLK_HVY_WLK_KEYIVT[tripPeriod]/100,WALK_HVY,1,1,1,1,1,1,1,1,1,1
Walk to HeavyRail - Short iwait time,"c_shortiWait*min(WLK_HVY_WLK_IWAIT[tripPeriod]/100,waitThresh)",WALK_HVY,1,1,1,1,1,1,1,1,1,1
Walk to HeavyRail - Long iwait time,"c_longiWait*max(WLK_HVY_WLK_IWAIT[tripPeriod]/100-waitThresh,0)",WALK_HVY,1,1,1,1,1,1,1,1,1,1
Walk to HeavyRail - transfer wait time,c_xwait*WLK_HVY_WLK_XWAIT[tripPeriod]/100,WALK_HVY,1,1,1,1,1,1,1,1,1,1
Walk to HeavyRail - number of transfers,"c_xfers_wlk*max(WLK_HVY_WLK_BOARDS[tripPeriod]-1,0)",WALK_HVY,1,1,1,1,1,1,1,1,1,1
Walk to heavy rail - Walk access time,c_wacc*originWalkTime,WALK_HVY,1,1,1,1,1,1,1,1,1,1
Walk to heavy rail - Walk egress time,c_wegr*destinationWalkTime,WALK_HVY,1,1,1,1,1,1,1,1,1,1
Walk to heavy rail - Walk other time,c_waux*WLK_HVY_WLK_WAUX[tripPeriod]/100,WALK_HVY,1,1,1,1,1,1,1,1,1,1
Walk to heavy rail - Fare ,c_cost*WLK_HVY_WLK_FAR[tripPeriod],WALK_HVY,1,1,1,1,1,1,1,1,1,1
Walk to heavy rail - Destination zone densityIndex,c_densityIndex*densityIndex,WALK_HVY,1,1,1,1,1,1,1,1,1,1
