MAZ,TAP,DIST,drive_time
24000,90010,1.79,2685.0
24000,90011,1.33,1995.0
24000,90012,0.86,1290.0
24000,90014,0.88,1320.0
24000,90016,1.14,1709.9999999999998
24000,90017,1.5,2250.0
24000,90018,1.75,2625.0
24000,90019,2.28,3419.9999999999995
24000,90020,2.02,3030.0
24000,90021,1.38,2070.0
24000,90022,0.62,930.0
24000,90023,0.61,915.0
24000,90024,0.2,300.0
24000,90025,0.5,750.0
25000,90002,0.45,675.0
25000,90005,0.61,915.0
25000,90006,0.78,1170.0
25000,90007,0.86,1290.0
25000,90008,1.15,1724.9999999999998
25000,90009,1.56,2340.0
25000,90010,1.58,2370.0
25000,90011,1.15,1724.9999999999998
25000,90012,0.91,1365.0
25000,90014,0.94,1410.0
25000,90016,1.19,1785.0
25000,90017,1.56,2340.0
25000,90018,1.6,2400.0
25000,90019,2.13,3195.0
25000,90020,1.86,2790.0
25000,90021,1.22,1830.0
25000,90022,0.68,1020.0000000000001
25000,90023,1.02,1530.0
25000,90024,0.48,720.0
25000,90025,0.13,195.0
