OMAZ,DMAZ,DIST,TIME
13,13,0.11,2.2
13,14,0.23,4.6000000000000005
13,15,0.43,8.6
13,16,0.46,9.200000000000001
13,17,0.82,16.4
13,21,0.76,15.2
13,22,0.68,13.600000000000001
13,24,0.85,17.0
13,25,0.91,18.2
14,1,0.31,6.2
14,2,0.58,11.6
14,3,0.77,15.4
14,4,0.44,8.8
14,5,0.78,15.600000000000001
14,11,0.92,18.400000000000002
14,12,0.45,9.0
14,13,0.23,4.6000000000000005
14,14,0.11,2.2
14,15,0.24,4.8
14,16,0.33,6.6000000000000005
14,17,0.87,17.4
14,21,0.97,19.4
14,22,0.49,9.8
14,23,1.0,20.0
14,24,0.88,17.6
14,25,0.94,18.799999999999997
15,1,0.36,7.199999999999999
15,2,0.63,12.6
15,3,0.83,16.599999999999998
15,4,0.62,12.4
15,5,0.98,19.6
15,12,0.65,13.0
15,13,0.43,8.6
15,14,0.24,4.8
15,15,0.12,2.4
15,16,0.47,9.399999999999999
15,17,0.87,17.4
15,22,0.55,11.0
15,23,0.78,15.600000000000001
15,24,0.94,18.799999999999997
15,25,0.99,19.8
16,1,0.68,13.600000000000001
16,2,0.83,16.599999999999998
16,4,0.68,13.600000000000001
16,5,1.0,20.0
16,12,0.67,13.4
16,13,0.46,9.200000000000001
16,14,0.47,9.399999999999999
16,15,0.62,12.4
16,16,0.17,3.4000000000000004
16,17,0.63,12.6
16,21,0.71,14.2
16,22,0.87,17.4
17,1,0.94,18.799999999999997
17,4,0.97,19.4
17,12,0.89,17.8
17,13,0.82,16.4
17,14,0.73,14.6
17,15,0.87,17.4
17,16,0.55,11.0
17,17,0.29,5.8
17,18,0.58,11.6
17,21,0.93,18.6
18,11,0.87,17.4
18,12,0.96,19.2
18,17,0.58,11.6
18,18,0.26,5.2
18,19,0.62,12.4
18,20,0.99,19.8
18,21,0.57,11.399999999999999
19,10,0.87,17.4
19,11,0.99,19.8
19,18,0.62,12.4
19,19,0.29,5.8
19,20,0.67,13.4
19,21,0.93,18.6
20,9,0.62,12.4
20,10,0.42,8.4
20,11,0.72,14.399999999999999
20,18,1.0,20.0
20,19,0.63,12.6
20,20,0.23,4.6000000000000005
20,21,0.82,16.4
21,4,0.84,16.8
21,5,0.68,13.600000000000001
21,7,0.88,17.6
21,8,0.79,15.8
21,10,0.91,18.2
21,11,0.45,9.0
21,12,0.58,11.6
21,13,0.76,15.2
21,14,0.97,19.4
21,16,0.96,19.2
21,18,0.61,12.2
21,19,0.92,18.400000000000002
21,20,0.58,11.6
21,21,0.23,4.6000000000000005
22,1,0.68,13.600000000000001
22,2,0.57,11.399999999999999
22,3,0.76,15.2
22,4,0.68,13.600000000000001
22,12,1.0,20.0
22,13,0.92,18.400000000000002
22,14,0.8,16.0
22,15,0.58,11.6
22,22,0.15,3.0
22,23,0.62,12.4
22,24,0.62,12.4
22,25,0.68,13.600000000000001
23,2,0.95,19.0
23,14,1.0,20.0
23,15,0.78,15.600000000000001
23,22,0.89,17.8
23,23,0.19,3.8
23,24,0.61,12.2
24,1,0.49,9.8
24,2,0.37,7.4
24,3,0.57,11.399999999999999
24,4,0.48,9.6
24,5,0.89,17.8
24,12,0.8,16.0
24,13,0.72,14.399999999999999
24,14,0.67,13.4
24,15,0.75,15.0
24,16,0.9,18.0
24,22,0.32,6.4
24,23,0.62,12.4
24,24,0.2,4.0
24,25,0.48,9.6
25,1,0.87,17.4
25,2,0.59,11.799999999999999
25,3,0.41,8.2
25,4,0.77,15.4
25,5,0.94,18.799999999999997
25,6,0.78,15.600000000000001
25,12,0.98,19.6
25,22,0.84,16.8
25,24,0.5,10.0
25,25,0.13,2.6
