OMAZ,DMAZ,DIST,DISTBIKE
19000,16000,1.6,1.6
19000,17000,1.12,1.12
19000,18000,0.62,0.62
19000,19000,0.29,0.29
19000,20000,0.67,0.67
19000,21000,0.93,0.93
19000,22000,2.33,2.33
19000,23000,2.7,2.7
19000,24000,2.28,2.28
19000,25000,2.13,2.13
20000,1000,1.82,1.82
20000,2000,1.73,1.73
20000,3000,1.7,1.7
20000,4000,1.49,1.49
20000,5000,1.32,1.32
20000,6000,1.39,1.39
20000,7000,1.22,1.22
20000,8000,1.02,1.02
20000,9000,0.62,0.62
20000,10000,0.42,0.42
20000,11000,0.72,0.72
20000,12000,1.23,1.23
20000,13000,1.4,1.4
20000,14000,1.61,1.61
20000,15000,1.82,1.82
20000,16000,1.49,1.49
20000,17000,1.5,1.5
20000,18000,1.0,1.0
20000,19000,0.63,0.63
20000,20000,0.23,0.23
20000,21000,0.82,0.82
20000,22000,2.07,2.07
20000,23000,2.55,2.55
20000,24000,2.02,2.02
20000,25000,1.86,1.86
21000,1000,1.18,1.18
21000,2000,1.08,1.08
21000,3000,1.06,1.06
21000,4000,0.84,0.84
21000,5000,0.68,0.68
21000,6000,1.05,1.05
21000,7000,0.88,0.88
21000,8000,0.79,0.79
21000,9000,1.05,1.05
21000,10000,0.91,0.91
21000,11000,0.45,0.45
21000,12000,0.58,0.58
21000,13000,0.76,0.76
21000,14000,0.97,0.97
21000,15000,1.17,1.17
21000,16000,0.96,0.96
21000,17000,1.11,1.11
21000,18000,0.61,0.61
21000,19000,0.92,0.92
21000,20000,0.58,0.58
21000,21000,0.23,0.23
21000,22000,1.42,1.42
21000,23000,1.9,1.9
21000,24000,1.38,1.38
21000,25000,1.22,1.22
22000,1000,0.68,0.68
22000,2000,0.57,0.57
22000,3000,0.76,0.76
22000,4000,0.68,0.68
22000,5000,1.08,1.08
22000,6000,1.29,1.29
22000,7000,1.4,1.4
22000,8000,1.43,1.43
22000,9000,1.87,1.87
22000,10000,1.95,1.95
22000,11000,1.46,1.46
22000,12000,1.0,1.0
22000,13000,0.92,0.92
22000,14000,0.8,0.8
22000,15000,0.58,0.58
22000,16000,1.01,1.01
22000,17000,1.36,1.36
22000,18000,1.89,1.89
22000,19000,2.41,2.41
22000,20000,2.07,2.07
22000,21000,1.51,1.51
22000,22000,0.15,0.15
22000,23000,0.62,0.62
22000,24000,0.62,0.62
22000,25000,0.68,0.68
23000,1000,1.07,1.07
23000,2000,0.95,0.95
23000,3000,1.15,1.15
23000,4000,1.06,1.06
23000,5000,1.46,1.46
23000,6000,1.67,1.67
23000,7000,1.78,1.78
23000,8000,1.81,1.81
23000,9000,2.25,2.25
23000,10000,2.33,2.33
23000,11000,1.84,1.84
23000,12000,1.38,1.38
23000,13000,1.18,1.18
23000,14000,1.0,1.0
23000,15000,0.78,0.78
23000,16000,1.21,1.21
23000,17000,1.56,1.56
23000,18000,2.16,2.16
23000,19000,2.7,2.7
23000,20000,2.45,2.45
23000,21000,1.89,1.89
23000,22000,0.89,0.89
23000,23000,0.19,0.19
23000,24000,0.61,0.61
23000,25000,1.02,1.02
24000,1000,0.49,0.49
24000,2000,0.37,0.37
24000,3000,0.57,0.57
24000,4000,0.48,0.48
24000,5000,0.89,0.89
24000,6000,1.09,1.09
24000,7000,1.2,1.2
24000,8000,1.24,1.24
24000,9000,1.67,1.67
24000,10000,1.76,1.76
24000,11000,1.26,1.26
24000,12000,0.8,0.8
24000,13000,0.72,0.72
24000,14000,0.67,0.67
24000,15000,0.75,0.75
24000,16000,0.9,0.9
24000,17000,1.37,1.37
24000,18000,1.69,1.69
24000,19000,2.22,2.22
24000,20000,1.87,1.87
24000,21000,1.32,1.32
24000,22000,0.32,0.32
24000,23000,0.62,0.62
24000,24000,0.2,0.2
24000,25000,0.48,0.48
25000,1000,0.87,0.87
25000,2000,0.59,0.59
25000,3000,0.41,0.41
25000,4000,0.77,0.77
25000,5000,0.94,0.94
25000,6000,0.78,0.78
25000,7000,1.01,1.01
25000,8000,1.14,1.14
25000,9000,1.59,1.59
25000,10000,1.69,1.69
25000,11000,1.21,1.21
25000,12000,0.98,0.98
25000,13000,1.1,1.1
25000,14000,1.05,1.05
25000,15000,1.13,1.13
25000,16000,1.28,1.28
25000,17000,1.75,1.75
25000,18000,1.81,1.81
25000,19000,2.18,2.18
25000,20000,1.83,1.83
25000,21000,1.44,1.44
25000,22000,0.84,0.84
25000,23000,1.03,1.03
25000,24000,0.5,0.5
25000,25000,0.13,0.13
