MAZ,TAP,DISTBIKE,bike_time
20000,90020,0.23,138.0
20000,90021,0.58,348.0
20000,90022,2.07,1242.0
20000,90023,2.45,1470.0
20000,90024,1.87,1122.0
20000,90025,1.83,1098.0
21000,90002,1.07,642.0
21000,90005,0.77,462.0
21000,90006,1.1,660.0
21000,90007,0.91,546.0
21000,90008,0.71,426.0
21000,90009,1.08,648.0
21000,90010,0.92,552.0
21000,90011,0.45,270.0
21000,90012,0.57,341.99999999999994
21000,90014,0.97,582.0
21000,90016,0.71,426.0
21000,90017,0.93,558.0
21000,90018,0.57,341.99999999999994
21000,90019,0.93,558.0
21000,90020,0.82,491.99999999999994
21000,90021,0.23,138.0
21000,90022,1.51,906.0
21000,90023,1.89,1134.0
21000,90024,1.32,792.0
21000,90025,1.44,864.0
22000,90002,0.57,341.99999999999994
22000,90005,0.93,558.0
22000,90006,1.26,756.0
22000,90007,1.22,732.0
22000,90008,1.4,840.0
22000,90009,1.8,1080.0
22000,90010,1.83,1098.0
22000,90011,1.37,822.0000000000001
22000,90012,0.91,546.0
22000,90014,0.49,294.0
22000,90016,0.87,522.0
22000,90017,1.13,677.9999999999999
22000,90018,1.8,1080.0
22000,90019,2.33,1398.0
22000,90020,2.07,1242.0
22000,90021,1.42,852.0
22000,90022,0.15,90.0
22000,90023,0.89,534.0
22000,90024,0.32,192.0
22000,90025,0.84,504.0
23000,90002,0.97,582.0
23000,90005,1.41,846.0
23000,90006,1.68,1008.0
23000,90007,1.7,1020.0
23000,90008,1.87,1122.0
23000,90009,2.28,1367.9999999999998
23000,90010,2.31,1386.0
23000,90011,1.85,1110.0
23000,90012,1.38,827.9999999999999
23000,90014,1.0,600.0
23000,90016,1.37,822.0000000000001
23000,90017,1.56,936.0
23000,90018,2.16,1296.0
23000,90019,2.7,1620.0
23000,90020,2.55,1530.0
23000,90021,1.9,1140.0
23000,90022,0.62,372.0
23000,90023,0.19,114.0
23000,90024,0.62,372.0
23000,90025,1.03,618.0
24000,90002,0.4,240.0
24000,90005,0.88,528.0
24000,90006,1.1,660.0
24000,90007,1.18,708.0
24000,90008,1.35,810.0
24000,90009,1.76,1056.0
24000,90010,1.79,1074.0
24000,90011,1.33,798.0
24000,90012,0.86,516.0
24000,90014,0.88,528.0
24000,90016,1.14,683.9999999999999
24000,90017,1.5,900.0
24000,90018,1.75,1050.0
24000,90019,2.28,1367.9999999999998
24000,90020,2.02,1212.0
24000,90021,1.38,827.9999999999999
24000,90022,0.62,372.0
24000,90023,0.61,366.0
24000,90024,0.2,120.0
24000,90025,0.5,300.0
25000,90002,0.45,270.0
25000,90005,0.61,366.0
25000,90006,0.78,468.0
25000,90007,0.86,516.0
25000,90008,1.15,690.0
25000,90009,1.56,936.0
25000,90010,1.58,948.0
25000,90011,1.15,690.0
25000,90012,0.91,546.0
25000,90014,0.94,564.0
25000,90016,1.19,714.0
25000,90017,1.56,936.0
25000,90018,1.6,960.0
25000,90019,2.13,1278.0
25000,90020,1.86,1116.0
25000,90021,1.22,732.0
25000,90022,0.68,408.00000000000006
25000,90023,1.02,612.0
25000,90024,0.48,288.0
25000,90025,0.13,78.0
