MAZ,TAP,DISTWALK,walk_time
496,1604,0.35589999999999994,7.117999999999999
496,1606,0.3957,7.914
496,1607,0.8092,16.184
496,1608,0.6435500000000001,12.870999999999999
496,1611,0.8301000000000001,16.602
496,1651,0.2329,4.658
496,1652,0.3036,6.072
496,1653,0.74665,14.933
496,1658,0.7344,14.687999999999999
496,1665,0.41025,8.205
496,1681,0.747,14.94
496,1694,0.91965,18.393
496,1748,0.67405,13.481
497,1238,0.8820499999999999,17.641
497,1333,0.59185,11.837
497,1559,0.98665,19.733
497,1603,0.61885,12.377
497,1604,0.4126,8.252
497,1606,0.59325,11.865
497,1608,0.8411,16.822
497,1651,0.035350000000000006,0.7070000000000001
497,1652,0.252,5.04
497,1653,0.69505,13.901
497,1658,0.6828000000000001,13.655999999999999
497,1660,0.96255,19.250999999999998
497,1665,0.21275,4.255
497,1681,0.54945,10.989
497,1694,0.86805,17.361
497,1748,0.6224500000000001,12.449000000000002
498,1238,0.7966,15.932
498,1333,0.74475,14.895
498,1558,0.95685,19.137
498,1559,0.8321,16.642
498,1603,0.3582,7.164
498,1604,0.25805,5.1610000000000005
498,1606,0.5078,10.156
498,1607,0.9213,18.426
498,1608,0.7556499999999999,15.113
498,1611,0.9422,18.844
498,1651,0.26425,5.285
498,1652,0.5516,11.032
498,1653,0.99465,19.893
498,1658,0.9824,19.648
498,1665,0.29835,5.9670000000000005
498,1681,0.6351,12.702
498,1748,0.9221,18.442
499,1238,0.8265499999999999,16.531
499,1333,0.7747,15.494000000000002
499,1559,0.86205,17.241
499,1603,0.4616,9.232000000000001
499,1604,0.28800000000000003,5.76
499,1606,0.5377,10.754000000000001
499,1607,0.9512,19.024
499,1608,0.7856,15.712
499,1611,0.97215,19.442999999999998
499,1651,0.16085,3.217
499,1652,0.4482,8.964
499,1653,0.89125,17.825
499,1658,0.8789999999999999,17.58
499,1665,0.2653,5.306
499,1681,0.602,12.04
499,1748,0.8187000000000001,16.374000000000002
500,1238,0.57105,11.421
500,1333,0.78585,15.717
500,1558,0.81565,16.313
500,1559,0.6065499999999999,12.130999999999998
500,1603,0.2168,4.336
500,1604,0.0325,0.65
500,1606,0.2822,5.644
500,1607,0.6957,13.914000000000001
500,1608,0.6666000000000001,13.332
500,1611,0.7179,14.357999999999999
500,1651,0.40975,8.195
500,1652,0.69165,13.833
500,1665,0.5207499999999999,10.415
500,1681,0.85745,17.149
501,1238,0.75575,15.115
501,1333,0.97115,19.423
501,1558,0.6308,12.616
501,1559,0.7693,15.386
501,1603,0.03215,0.643
501,1604,0.21719999999999992,4.343999999999999
501,1606,0.4669,9.338
501,1607,0.8804000000000001,17.608
501,1608,0.85125,17.025
501,1611,0.9026,18.052
501,1651,0.55745,11.149000000000001
501,1652,0.84475,16.895
501,1665,0.4329,8.658
501,1681,0.7485,14.97
502,1238,0.85595,17.119
502,1333,0.8041,16.082
502,1558,0.7954,15.908
502,1559,0.8701000000000001,17.402
502,1603,0.1968,3.9360000000000004
502,1604,0.3174,6.348
502,1606,0.56715,11.343
502,1607,0.98065,19.613
502,1608,0.8150000000000001,16.3
502,1651,0.4257,8.514
502,1652,0.7099500000000001,14.199000000000002
502,1665,0.3201,6.402
