primary_purpose,outbound,depart_range_start,depart_range_end,person_type,work,univ,school,escort,shopping,othmaint,eatout,social,othdiscr
othmaint,FALSE,1,48,PTYPE_FULL,0,0,0,0.0721,0.2867,0.4158,0.1325,0.082,0.0109
othmaint,FALSE,1,48,PTYPE_PART,0,0,0,0.1038,0.3525,0.3583,0.0992,0.0533,0.0329
othmaint,FALSE,1,48,PTYPE_UNIVERSITY,0,0,0,0.2037,0.2547,0.2879,0.1397,0.097,0.017
othmaint,FALSE,1,48,PTYPE_NONWORK,0,0,0,0.1147,0.3058,0.3279,0.1074,0.101,0.0432
othmaint,FALSE,1,48,PTYPE_RETIRED,0,0,0,0.0671,0.4198,0.2983,0.1372,0.0456,0.032
othmaint,FALSE,1,48,PTYPE_DRIVING,0,0,0,0.1387,0.1284,0.3408,0.173,0.1297,0.0894
othmaint,FALSE,1,48,PTYPE_SCHOOL,0,0,0,0.4696,0.1551,0.2114,0.0733,0.0722,0.0184
othmaint,FALSE,1,48,PTYPE_PRESCHOOL,0,0,0,0.5778,0.0623,0.1396,0,0.2203,0
eatout,FALSE,1,48,PTYPE_FULL,0,0,0,0.2288,0.3633,0.1621,0.0857,0.1112,0.0489
eatout,FALSE,1,48,PTYPE_PART,0,0,0,0.1853,0.2404,0.2112,0.0098,0.2702,0.0831
eatout,FALSE,1,48,PTYPE_UNIVERSITY,0,0,0,0.271,0.6172,0.1118,0,0,0
eatout,FALSE,1,48,PTYPE_NONWORK,0,0,0,0.2313,0.3722,0.2521,0,0.1157,0.0287
eatout,FALSE,1,48,PTYPE_RETIRED,0,0,0,0.0941,0.4603,0.0218,0,0.3649,0.0589
eatout,FALSE,1,48,PTYPE_DRIVING,0,0,0,0,0.1389,0,0,0,0.8611
eatout,FALSE,1,48,PTYPE_SCHOOL,0,0,0,0.8878,0.1122,0,0,0,0
eatout,FALSE,1,48,PTYPE_PRESCHOOL,0,0,0,0.2313,0.3722,0.2521,0,0.1157,0.0287
social,FALSE,1,48,PTYPE_FULL,0,0,0,0.2776,0.2941,0.1438,0.021,0.2409,0.0226
social,FALSE,1,48,PTYPE_PART,0,0,0,0.1973,0.3377,0.1152,0.0119,0.321,0.0169
social,FALSE,1,48,PTYPE_UNIVERSITY,0,0,0,0.1241,0.2352,0.1673,0.2512,0.2222,0
social,FALSE,1,48,PTYPE_NONWORK,0,0,0,0.13,0.4549,0.1969,0.0421,0.156,0.0201
social,FALSE,1,48,PTYPE_RETIRED,0,0,0,0.0832,0.0906,0,0.1134,0.7128,0
social,FALSE,1,48,PTYPE_DRIVING,0,0,0,0.3094,0.0626,0,0.1899,0.4381,0
social,FALSE,1,48,PTYPE_SCHOOL,0,0,0,0,0,0.1395,0.262,0.5985,0
social,FALSE,1,48,PTYPE_PRESCHOOL,0,0,0,0.2877,0.3018,0.2736,0,0.0001,0.1368
othdiscr,FALSE,1,48,PTYPE_FULL,0,0,0,0.2072,0.2249,0.2484,0.1994,0.0645,0.0556
othdiscr,FALSE,1,48,PTYPE_PART,0,0,0,0.1231,0.2255,0.2953,0.1939,0.0774,0.0848
othdiscr,FALSE,1,48,PTYPE_UNIVERSITY,0,0,0,0.0903,0.4364,0.1651,0.1124,0.0484,0.1474
othdiscr,FALSE,1,48,PTYPE_NONWORK,0,0,0,0.1619,0.3849,0.2441,0.1232,0.0464,0.0395
othdiscr,FALSE,1,48,PTYPE_RETIRED,0,0,0,0.1146,0.306,0.2519,0.2126,0.0728,0.0421
othdiscr,FALSE,1,48,PTYPE_DRIVING,0,0,0,0.1813,0.0304,0.3087,0.2546,0.0639,0.1611
othdiscr,FALSE,1,48,PTYPE_SCHOOL,0,0,0,0.3164,0.0331,0.194,0.2791,0.1019,0.0755
othdiscr,FALSE,1,48,PTYPE_PRESCHOOL,0,0,0,0.2835,0.0433,0.2946,0.0616,0.1289,0.1881
atwork,FALSE,1,48,PTYPE_FULL,0.3331,0,0,0.067,0.124,0.2638,0.1933,0.0114,0.0074
atwork,FALSE,1,48,PTYPE_PART,0.3331,0,0,0.067,0.124,0.2638,0.1933,0.0114,0.0074
atwork,FALSE,1,48,PTYPE_UNIVERSITY,0.3331,0,0,0.067,0.124,0.2638,0.1933,0.0114,0.0074
atwork,FALSE,1,48,PTYPE_NONWORK,0.3331,0,0,0.067,0.124,0.2638,0.1933,0.0114,0.0074
atwork,FALSE,1,48,PTYPE_RETIRED,0.3331,0,0,0.067,0.124,0.2638,0.1933,0.0114,0.0074
atwork,FALSE,1,48,PTYPE_DRIVING,0.3331,0,0,0.067,0.124,0.2638,0.1933,0.0114,0.0074
atwork,FALSE,1,48,PTYPE_SCHOOL,0.3331,0,0,0.067,0.124,0.2638,0.1933,0.0114,0.0074
atwork,FALSE,1,48,PTYPE_PRESCHOOL,0.3331,0,0,0.067,0.124,0.2638,0.1933,0.0114,0.0074
