primary_purpose,outbound,tour_hour,trip_num,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,HR25,HR26,HR27,HR28,HR29,HR30,HR31,HR32,HR33,HR34,HR35,HR36,HR37,HR38,HR39,HR40,HR41,HR42,HR43,HR44,HR45,HR46,HR47,HR48
work,FALSE,34,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020592053856859614,0.01981765183147344,0.019043249806087268,0.018268847780701095,0.01749444575531492,0.01672004372992875,0.015945641704542574,0.015171239679156399,0.014396837653770228,0.013622435628384054,0.012848033602997879,0.012073631577611708,0.011299229552225534,0.010524827526839359,0.04667532207554846,0.019829385195494445,0.05654576766993388,0.29988131764878523,0.13756153056662693,0.07983213614379653,0.06818257832604628,0.047285457004640596,0.026388335683234915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
work,FALSE,35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005277083039010784,0.0008135973850295,0.03044210215652046,0.05596872011182102,0.15248096115428883,0.44672644121461236,0.3082910949387171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
work,FALSE,35,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010217429115642806,0.0029347934693867636,0.01145656413605055,0.009538078775506982,0.007619593414963412,0.005701108054419843,0.0037826226938762727,0.03850014247617747,0.01537975473446955,0.06453324241838283,0.11273124381903418,0.12422933631350647,0.14456292942254367,0.16250372844530073,0.1756400465302991,0.1104302548607116,0.009434817523806337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
work,FALSE,35,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007673718759662206,0.008027113702541385,0.008380508645420566,0.008733903588299747,0.009087298531178926,0.009032321213789291,0.008977343896399658,0.008922366579010023,0.008867389261620388,0.006865958890224079,0.09743725704526887,0.025408347908111063,0.08098025894104256,0.10856968516085586,0.20476992613246445,0.15664301588903262,0.1375909222989012,0.08525224659174065,0.01878041696443645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
work,FALSE,35,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01366658495182344,0.025981578548240784,0.03829657214465813,0.05061156574107547,0.06292655933749282,0.07524155293391015,0.021808380242271445,0.007560238483987435,0.0059609572662208616,0.05742873463798147,0.14146369317153412,0.10270244315774298,0.17243159311555956,0.09066603343465703,0.09734238003390401,0.035911132798940315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
work,FALSE,36,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006140545527906178,0.07704479129847519,0.09261075958932334,0.5016100404539727,0.3225938631303225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
work,FALSE,36,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002835854176900892,0.003838428885906258,0.004841003594911624,0.014637590751478342,0.013885188413822233,0.013132786076166124,0.012380383738510015,0.011627981400853906,0.022973283332065813,0.036731113977483125,0.07271821698842146,0.060827669313446395,0.10779312197185888,0.13056387210418452,0.13015807646972952,0.1540899863003375,0.20367126846004854,0.0032941740438747736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
work,FALSE,36,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076208477489212246,0.006928043408110204,0.006235239067299184,0.007235956448470657,0.011931630313967573,0.009812119693590788,0.007692609073214001,0.005573098452837218,0.01733544038345004,0.029097782314062858,0.054962477704340956,0.07972793889092103,0.11139210919913986,0.13573088907739578,0.10990103431320945,0.09608834010325086,0.212674945701561,0.05480345498498559,0.03525604312127193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
work,FALSE,36,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015885752641210733,0.021040172381178047,0.026194592121145357,0.030588523702756835,0.021411826550485884,0.012235129398214934,0.030588523702756835,0.026194592121145357,0.11351894608472106,0.027208576332286467,0.049178234240343864,0.09969732514151822,0.09261055795088809,0.13063496586867973,0.1860661027443938,0.049347231608867385,0.06759894740940738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
work,FALSE,37,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01130462395244174,0.0041929877932693,0.002836432918976291,0.028414253319358176,0.1827968730678073,0.43866839741314934,0.33178643153499787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
