MAZ,TAZ,tot_acres,tot_hhs,hhs_pop,grppop,tot_pop,K_8,G9_12,e01_nrm,e02_constr,e03_manuf,e04_whole,e05_retail,e06_trans,e07_utility,e08_infor,e09_finan,e10_pstsvc,e11_compmgt,e12_admsvc,e13_edusvc,e14_medfac,e15_hospit,e16_leisure,e17_othsvc,e18_pubadm,tot_emp,parking_spaces,Univ_Enrollment,Univ_Tier,AreaType,COUNTY,TERMINAL,DISTRICT20,parking_daily,parking_hourly,AE_LOCAL,AE_PRM
22646,2101,19.2,41,57,0,57,0,0,0,0,2,25,0,8,0,0,16,0,0,2,0,1,0,0,5,0,59,0,0,0,4,5,0,16,0.0,,0.1902174072265625,27.79121740722656
22647,2101,12.8,28,45,0,45,0,0,0,1,2,9,6,2,0,0,0,1,0,2,0,2,0,0,0,0,25,0,0,0,4,5,0,16,0.0,,0.2961298828124999,27.8661298828125
22648,2101,19.2,65,101,0,101,0,0,4,3,0,21,0,0,0,1,13,0,0,6,0,2,0,1,9,0,60,0,0,0,4,5,0,16,0.0,,0.1935591125488281,27.76355911254883
22649,2102,44.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,16,0.0,,0.69795068359375,26.76995068359375
22650,2102,25.6,23,38,0,38,0,0,0,33,0,1,9,0,0,0,7,2,0,41,0,12,0,9,16,0,130,0,0,0,4,5,0,16,0.0,,0.28917041015625,26.72417041015625
22651,2102,198.4,22,30,0,30,0,0,0,12,19,30,44,4,0,0,16,6,1,33,0,28,0,28,37,0,258,0,0,0,4,5,0,16,0.0,,0.1806083984374999,26.6026083984375
22652,2102,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,16,0.0,,0.16640185546875,27.56740185546875
22653,2102,38.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,16,0.0,,0.64412890625,28.22912890625
22654,2102,44.8,71,107,0,107,0,0,0,5,0,0,0,2,0,0,0,1,0,17,33,4,0,7,3,0,72,0,0,0,4,5,0,16,0.0,,0.367466796875,27.198466796875
22655,2102,12.8,12,20,0,20,0,0,0,1,0,0,1,0,0,0,0,0,0,8,0,9,0,6,0,0,25,0,0,0,4,5,0,16,0.0,,0.23894482421875,26.92594482421875
22656,2102,44.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,16,0.0,,1.1204708251953126,26.232470825195318
22657,2102,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,4,0,16,0,0,0,4,5,0,16,0.0,,0.06146240234375,26.48346240234375
22658,2103,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,16,0.0,,0.19815185546875,27.78315185546875
22659,2103,19.2,43,128,0,128,0,0,0,0,5,0,9,1,0,0,1,1,0,0,0,1,0,3,7,42,70,0,0,0,4,5,0,16,0.0,,0.36702978515625,28.38402978515625
22660,2103,12.8,22,66,0,66,0,0,0,2,0,10,8,2,0,0,0,6,0,15,0,2,0,0,9,0,54,0,0,0,4,5,0,16,0.0,,0.42438916015625,28.40138916015625
22661,2103,12.8,31,76,0,76,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,5,0,0,0,4,5,0,16,0.0,,0.414578125,28.157578125
22662,2103,6.4,35,88,0,88,0,0,0,1,2,1,0,0,0,0,2,2,0,2,0,0,0,0,0,0,10,0,0,0,4,5,0,16,0.0,,0.4736767578125,28.1006767578125
22663,2103,6.4,33,77,0,77,0,0,2,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,7,0,0,0,4,5,0,16,0.0,,0.4194326171875,28.2734326171875
