,omaz,idx,btap,dmaz,atap,tod,utility,transit_type
675041,6233,1931,1460,1201,1529,AM,-1.21901081938,local_bus
2259256,5130,8210,824,5692,1255,PM,-1.21900014957,local_bus
565987,12832,1593,777,731,1612,PM,-1.2188754722,local_bus
1143657,19406,3470,424,9142,1834,AM,-1.21820546536,local_bus
941758,4493,2803,824,7970,2296,AM,-1.21790544507,local_bus
568637,319,1603,2144,10604,1310,PM,-1.2178447089,local_bus
649281,11386,8656,824,14538,270,AM,-1.21697004432,local_bus
966252,1703,2890,1969,1557,2094,PM,-1.21644971164,local_bus
2178952,1181,7760,1841,12078,859,PM,-1.21614949504,local_bus
678734,17405,1950,212,11035,1205,AM,-1.21580161224,local_bus
2107275,8108,7397,2280,19741,518,AM,-1.21565002879,local_bus
2281472,15018,8324,226,10738,1281,PM,-1.21547840179,local_bus
345105,5199,938,1556,8055,2267,PM,-1.21544973807,local_bus
1387638,8561,4362,2280,22897,2156,AM,-1.21533552799,local_bus
716593,6663,2077,2388,9408,1726,PM,-1.21527585576,local_bus
1114651,18716,3371,564,10985,1183,PM,-1.21502220732,local_bus
311283,8084,852,2280,4905,987,AM,-1.21490508799,local_bus
2037093,3461,8767,1556,6198,1505,PM,-1.21487215707,local_bus
301932,18566,817,393,17691,320,AM,-1.21475686929,local_bus
2539785,19390,9739,564,14730,282,AM,-1.21473486484,local_bus
2188902,875,7811,1333,17835,305,PM,-1.21438203117,local_bus
487018,13066,1388,777,3305,1850,PM,-1.21435651018,local_bus
1070205,5575,3233,1669,27,1589,AM,-1.21429857282,local_bus
2270351,5501,8277,1669,18786,415,PM,-1.21390565382,local_bus
80441,11262,224,1145,1234,1529,PM,-1.21338530307,local_bus
914183,4615,2703,731,461,209,PM,-1.21315302927,local_bus
258461,4785,1888,924,9061,1996,PM,-1.21271939249,local_bus
1764906,9671,5852,1506,19193,1291,PM,-1.21197868071,local_bus
778955,13826,2269,686,1838,2044,AM,-1.21169304957,local_bus
863646,3871,2545,1556,17496,264,PM,-1.21146899082,local_bus
409619,19649,1247,564,477,1760,AM,-1.21144938739,local_bus
2499401,10863,9526,1145,19175,386,PM,-1.21124542737,local_bus
150488,573,9924,1607,17373,252,AM,-1.21113611712,local_bus
765631,20039,2227,564,7563,2170,AM,-1.21104620832,local_bus
1411222,4107,4443,1556,5519,1234,AM,-1.21078244907,local_bus
1249377,11466,3835,747,18860,417,PM,-1.21059421902,local_bus
1593569,19103,5125,393,928,1673,PM,-1.21054937311,local_bus
1468373,4363,4645,777,7599,2189,AM,-1.2105311162,local_bus
2255690,3431,8185,1556,4177,993,PM,-1.20960214482,local_bus
2304271,18598,8462,393,12617,798,PM,-1.20923434141,local_bus
2057302,14214,7184,2326,20483,676,PM,-1.209064654,local_bus
2030867,3783,7043,1556,1335,27,PM,-1.20859062462,local_bus
1131461,5643,3959,1460,18983,433,AM,-1.20842914491,local_bus
1416806,18770,4467,564,8062,2259,PM,-1.20841756707,local_bus
81268,12599,226,824,3286,1844,PM,-1.20840353494,local_bus
106614,17785,6028,264,13504,688,AM,-1.20805279341,local_bus
930016,18425,2757,424,8878,1575,AM,-1.20797407569,local_bus
2552747,8948,9822,1590,14890,162,AM,-1.20788896327,local_bus
