ZONE,COUNTY,EXTERNAL,DISTRICT,SUPER_DIST_25,tot_acres,tot_hhs,hhs_pop,workers,grppop,tot_pop,tot_emp,e01_nrm,e02_constr,e03_manuf,e04_whole,e05_retail,e06_trans,e07_utility,e08_infor,e09_finan,e10_pstsvc,e11_compmgt,e12_admsvc,e13_edusvc,e14_medfac,e15_hospit,e16_leisure,e17_othsvc,e18_pubadm,WrkPrkCost,NonWrkPrk,PRKCST,OPRKCST,AirportADT,AreaType,UMI,CBD,DET,K_8,G9_12,k12enroll,Univ_Enrollment,University_Name,TERMINAL,TOPOLOGY,parking_spaces
180,1,0,48,1,25.488007999999997,58.0,64.0,59.0,0.0,64.0,1026.0,0.0,18.0,20.0,3.0,58.0,2.0,0.0,29.0,28.0,134.0,0.0,50.0,14.0,9.0,0.0,374.0,283.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
181,1,0,48,1,18.474343,0.0,0.0,0.0,0.0,0.0,506.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,52.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,426.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
182,1,0,48,1,42.28200800000001,0.0,0.0,0.0,0.0,0.0,2034.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,11.0,633.0,0.0,45.0,0.0,0.0,0.0,1256.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
183,1,0,48,1,35.00861,0.0,0.0,0.0,0.0,0.0,775.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,0.0,12.0,0.0,695.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
184,1,0,21,1,26.575542,0.0,0.0,0.0,0.0,0.0,10756.0,0.0,23.0,38.0,33.0,87.0,21.0,0.0,119.0,1892.0,2059.0,4634.0,545.0,0.0,55.0,0.0,1013.0,144.0,93.0,236.0,47.0,29.5,5.875,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
185,1,0,48,1,20.796329999999998,388.0,470.0,409.0,0.0,470.0,1211.0,0.0,20.0,35.0,5.0,63.0,91.0,0.0,56.0,89.0,213.0,2.0,93.0,0.0,26.0,0.0,454.0,64.0,0.0,244.0,86.0,30.5,10.75,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
186,1,0,48,1,37.540649,0.0,0.0,0.0,0.0,0.0,3217.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,44.0,2578.0,30.0,185.0,61.0,52.0,72.0,0.0,157.0,17.0,9.0,108.0,100.0,13.5,12.5,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
187,1,0,48,1,28.575048,0.0,0.0,0.0,0.0,0.0,3990.0,0.0,17.0,26.0,17.0,59.0,5.0,77.0,13.0,62.0,98.0,4.0,69.0,5.0,7.0,0.0,2441.0,56.0,1034.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
188,1,0,48,1,30.931258000000003,0.0,0.0,0.0,1628.0,1628.0,1336.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,9.0,0.0,12.0,0.0,147.0,0.0,36.0,3.0,1117.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
189,1,0,21,1,17.570733999999998,0.0,0.0,0.0,0.0,0.0,347.0,0.0,0.0,0.0,5.0,16.0,185.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,119.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
