body_type,fuel_type,vehicle_year,NumMakes,NumModels,MPG,Range,NewPrice,auto_operating_cost
Van,PEV,2014,0,0,0,0,41623.63591,0.10
Van,PEV,2013,0,0,0,0,49348.65769,0.10
Van,PEV,2012,0,0,0,0,44706.69363,0.10
Van,PEV,2011,0,0,0,0,36505.50102,0.10
Van,PEV,2010,0,0,0,0,36505.50102,0.10
Van,PEV,2009,0,0,0,0,36505.50102,0.10
Van,PEV,2008,0,0,0,0,36505.50102,0.10
Van,PEV,2007,0,0,0,0,36505.50102,0.10
Van,PEV,2006,0,0,0,0,36505.50102,0.10
Van,PEV,2005,0,0,0,0,36505.50102,0.10
Van,PEV,2004,0,0,0,0,36505.50102,0.10
Van,PEV,2003,0,0,0,0,36505.50102,0.10
Van,PEV,2002,0,0,0,0,36505.50102,0.10
Van,PEV,2001,0,0,0,0,36505.50102,0.10
Van,PEV,2000,0,0,0,0,36505.50102,0.10
Van,PEV,1999,0,0,0,0,36505.50102,0.10
Van,PEV,1998,0,0,0,0,36505.50102,0.10
Van,BEV,2017,0,0,0,0,60163.19858,0.10
Van,BEV,2016,0,0,0,0,69125.49901,0.10
Van,BEV,2015,0,0,0,0,58331.27174,0.10
Van,BEV,2014,0,0,0,0,46720.40766,0.10
Van,BEV,2013,0,0,0,0,55391.35047,0.10
Van,BEV,2012,0,0,0,0,50180.98264,0.10
Van,BEV,2011,0,0,0,0,40975.56237,0.10
Van,BEV,2010,0,0,0,0,40975.56237,0.10
Van,BEV,2009,0,0,0,0,40975.56237,0.10
Van,BEV,2008,0,0,0,0,40975.56237,0.10
Van,BEV,2007,0,0,0,0,40975.56237,0.10
Van,BEV,2006,0,0,0,0,40975.56237,0.10
Van,BEV,2005,0,0,0,0,40975.56237,0.10
Van,BEV,2004,0,0,0,0,40975.56237,0.10
Van,BEV,2003,0,0,0,0,40975.56237,0.10
Van,BEV,2002,0,0,0,0,40975.56237,0.10
Van,BEV,2001,0,0,0,0,40975.56237,0.10
Van,BEV,2000,0,0,0,0,40975.56237,0.10
Van,BEV,1999,0,0,0,0,40975.56237,0.10
Van,BEV,1998,0,0,0,0,40975.56237,0.10
SUV,Gas,2017,30,318,21.2,0,37821.12858,0.14
SUV,Gas,2016,27,293,21.4,0,38346.06347,0.14
SUV,Gas,2015,26,301,20.9,0,38329.41605,0.14
SUV,Gas,2014,26,271,20.3,0,37413.03871,0.15
SUV,Gas,2013,27,267,20,0,37878.57695,0.15
SUV,Gas,2012,28,257,19.5,0,37858.97512,0.15
SUV,Gas,2011,29,287,19.4,0,39524.88281,0.15
SUV,Gas,2010,31,280,18.9,0,40524.01472,0.16
SUV,Gas,2009,34,325,18.2,0,40936.16249,0.16
SUV,Gas,2008,34,313,17.7,0,41059.36555,0.17
SUV,Gas,2007,34,294,17.6,0,43205.02465,0.17
SUV,Gas,2006,33,279,17.3,0,44316.78868,0.17
SUV,Gas,2005,33,280,17.1,0,43117.26416,0.18
SUV,Gas,2004,33,260,16.6,0,43635.05292,0.18
SUV,Gas,2003,31,253,16.8,0,43186.19656,0.18
SUV,Gas,2002,31,222,16.7,0,42937.51063,0.18
SUV,Gas,2001,28,195,17.1,0,42914.78893,0.18
SUV,Gas,2000,22,163,17,0,44632.90518,0.18
SUV,Gas,1999,22,160,17.2,0,44162.36162,0.17
SUV,Gas,1998,25,167,17.4,0,44742.81877,0.17
SUV,Diesel,2017,3,5,25,0,44897.93782,0.12
SUV,Diesel,2016,7,11,25,0,45521.09463,0.12
SUV,Diesel,2015,6,10,25.2,0,45501.33227,0.12
SUV,Diesel,2014,6,8,24.5,0,44413.4892,0.12
SUV,Diesel,2013,5,5,23.4,0,44966.1355,0.13
SUV,Diesel,2012,3,3,21,0,44942.86593,0.14
SUV,Diesel,2011,3,3,21.3,0,46920.48592,0.14
SUV,Diesel,2010,3,3,20.7,0,48106.56799,0.14
SUV,Diesel,2009,3,3,20.7,0,48595.8338,0.14
SUV,Diesel,2008,3,6,19.7,0,48742.08969,0.15
SUV,Diesel,2007,3,6,19.7,0,51289.22862,0.15
SUV,Diesel,2006,2,2,19,0,52609.0177,0.16
SUV,Diesel,2005,1,1,21,0,51185.04703,0.14
SUV,Diesel,2004,1,1,18,0,51799.72059,0.17
SUV,Diesel,2003,0,0,0,0,51266.87756,0.10
SUV,Diesel,2002,0,0,0,0,50971.65936,0.10
SUV,Diesel,2001,0,0,0,0,50944.68615,0.10
SUV,Diesel,2000,0,0,0,0,52984.28357,0.10
SUV,Diesel,1999,2,2,15,0,52425.69538,0.20
SUV,Diesel,1998,2,2,15,0,53114.76338,0.20
SUV,Hybrid,2017,5,10,29.6,0,40628.40849,0.10
SUV,Hybrid,2016,5,11,29.1,0,41192.30676,0.10
SUV,Hybrid,2015,7,13,27.5,0,41174.42369,0.11
SUV,Hybrid,2014,8,12,26.3,0,40190.02808,0.11
SUV,Hybrid,2013,8,13,23.1,0,40690.12098,0.13
SUV,Hybrid,2012,8,14,23.9,0,40669.0642,0.13
SUV,Hybrid,2011,12,20,24.9,0,42458.62419,0.12
SUV,Hybrid,2010,11,17,26.1,0,43531.91684,0.11
SUV,Hybrid,2009,10,16,25.4,0,43974.65635,0.12
SUV,Hybrid,2008,8,14,26.1,0,44107.00417,0.11
SUV,Hybrid,2007,5,8,26.8,0,46411.9252,0.11
SUV,Hybrid,2006,5,8,27,0,47606.21011,0.11
SUV,Hybrid,2005,1,2,28,0,46317.65066,0.11
SUV,Hybrid,2004,0,0,0,0,46873.87239,0.10
SUV,Hybrid,2003,0,0,0,0,46391.69959,0.10
SUV,Hybrid,2002,0,0,0,0,46124.5549,0.10
SUV,Hybrid,2001,0,0,0,0,46100.14668,0.10
SUV,Hybrid,2000,0,0,0,0,47945.79041,0.10
SUV,Hybrid,1999,0,0,0,0,47440.32067,0.10
SUV,Hybrid,1998,0,0,0,0,48063.86236,0.10
SUV,PEV,2017,4,4,23,0,66088.39654,0.13
SUV,PEV,2016,4,4,23,0,75933.35291,0.13
SUV,PEV,2015,1,1,22,0,64076.05162,0.14
SUV,PEV,2014,0,0,0,0,51321.68669,0.10
SUV,PEV,2013,0,0,0,0,60846.59096,0.10
SUV,PEV,2012,0,0,0,0,55123.07786,0.10
SUV,PEV,2011,0,0,0,0,45011.05789,0.10
SUV,PEV,2010,0,0,0,0,45011.05789,0.10
SUV,PEV,2009,0,0,0,0,45011.05789,0.10
SUV,PEV,2008,0,0,0,0,45011.05789,0.10
SUV,PEV,2007,0,0,0,0,45011.05789,0.10
SUV,PEV,2006,0,0,0,0,45011.05789,0.10
SUV,PEV,2005,0,0,0,0,45011.05789,0.10
SUV,PEV,2004,0,0,0,0,45011.05789,0.10
SUV,PEV,2003,0,0,0,0,45011.05789,0.10
SUV,PEV,2002,0,0,0,0,45011.05789,0.10
SUV,PEV,2001,0,0,0,0,45011.05789,0.10
SUV,PEV,2000,0,0,0,0,45011.05789,0.10
SUV,PEV,1999,0,0,0,0,45011.05789,0.10
SUV,PEV,1998,0,0,0,0,45011.05789,0.10
SUV,BEV,2017,2,7,87.4,245,75017.02367,0.03
SUV,BEV,2016,2,6,87.5,237,86192.04627,0.03
SUV,BEV,2015,0,0,0,0,72732.80836,0.10
SUV,BEV,2014,2,2,69.5,115,58255.31238,0.04
SUV,BEV,2013,2,2,69.5,115,69067.04343,0.04
SUV,BEV,2012,2,2,69,113,62570.27637,0.04
SUV,BEV,2011,0,0,0,0,51092.10953,0.10
SUV,BEV,2010,0,0,0,0,51092.10953,0.10
SUV,BEV,2009,0,0,0,0,51092.10953,0.10
SUV,BEV,2008,0,0,0,0,51092.10953,0.10
SUV,BEV,2007,0,0,0,0,51092.10953,0.10
SUV,BEV,2006,0,0,0,0,51092.10953,0.10
SUV,BEV,2005,0,0,0,0,51092.10953,0.10
SUV,BEV,2004,0,0,0,0,51092.10953,0.10
SUV,BEV,2003,0,0,0,0,51092.10953,0.10
SUV,BEV,2002,0,0,0,0,51092.10953,0.10
SUV,BEV,2001,0,0,0,0,51092.10953,0.10
SUV,BEV,2000,0,0,0,0,51092.10953,0.10
SUV,BEV,1999,0,0,0,0,51092.10953,0.10
SUV,BEV,1998,0,0,0,0,51092.10953,0.10
Pickup,Gas,2017,8,84,18.5,0,33196.53386,0.16
Pickup,Gas,2016,7,72,18.5,0,33657.28211,0.16
Pickup,Gas,2015,6,66,18.6,0,33642.67026,0.16
Pickup,Gas,2014,8,65,17.1,0,32838.34335,0.18
Pickup,Gas,2013,7,69,16.9,0,33246.9577,0.18
Pickup,Gas,2012,8,100,17.3,0,33229.7527,0.17
Pickup,Gas,2011,8,110,17.3,0,34691.96081,0.17
Pickup,Gas,2010,10,108,17.2,0,35568.92344,0.17
Pickup,Gas,2009,11,138,16.8,0,35930.67567,0.18
Pickup,Gas,2008,14,148,16.3,0,36038.81401,0.18
Pickup,Gas,2007,12,162,16.1,0,37922.11173,0.19
Pickup,Gas,2006,12,151,16.2,0,38897.93434,0.19
Pickup,Gas,2005,7,127,16.4,0,37845.08219,0.18
Pickup,Gas,2004,7,140,16.3,0,38299.55811,0.18
Pickup,Gas,2003,8,127,15.8,0,37905.58585,0.19
Pickup,Gas,2002,9,127,15.7,0,37687.3081,0.19
Pickup,Gas,2001,8,126,16,0,37667.36471,0.19
Pickup,Gas,2000,8,119,16.5,0,39175.39755,0.18
Pickup,Gas,1999,8,119,16,0,38762.38991,0.19
Pickup,Gas,1998,8,124,16.1,0,39271.87141,0.19
Pickup,Diesel,2017,3,7,23,0,39835.84063,0.13
Pickup,Diesel,2016,3,7,23.6,0,40388.73853,0.13
Pickup,Diesel,2015,1,3,23,0,40371.20431,0.13
Pickup,Diesel,2014,1,2,22.5,0,39406.01202,0.13
Pickup,Diesel,2013,0,0,0,0,39896.34924,0.10
Pickup,Diesel,2012,0,0,0,0,39875.70323,0.10
Pickup,Diesel,2011,1,1,20,0,41630.35298,0.15
Pickup,Diesel,2010,0,0,0,0,42682.70813,0.10
Pickup,Diesel,2009,0,0,0,0,43116.8108,0.10
Pickup,Diesel,2008,0,0,0,0,43246.57682,0.10
Pickup,Diesel,2007,0,0,0,0,45506.53408,0.10
Pickup,Diesel,2006,0,0,0,0,46677.52121,0.10
Pickup,Diesel,2005,0,0,0,0,45414.09862,0.10
Pickup,Diesel,2004,0,0,0,0,45959.46973,0.10
Pickup,Diesel,2003,0,0,0,0,45486.70302,0.10
Pickup,Diesel,2002,0,0,0,0,45224.76972,0.10
Pickup,Diesel,2001,0,0,0,0,45200.83765,0.10
Pickup,Diesel,2000,0,0,0,0,47010.47706,0.10
Pickup,Diesel,1999,0,0,0,0,46514.86789,0.10
Pickup,Diesel,1998,2,4,15,0,47126.2457,0.20
Pickup,Hybrid,2017,2,4,19,0,36516.18724,0.16
Pickup,Hybrid,2016,2,4,19,0,37023.01032,0.16
Pickup,Hybrid,2015,0,0,0,0,37006.93728,0.10
Pickup,Hybrid,2014,0,0,0,0,36122.17768,0.10
Pickup,Hybrid,2013,2,4,21,0,36571.65347,0.14
Pickup,Hybrid,2012,2,4,21,0,36552.72796,0.14
Pickup,Hybrid,2011,2,4,21,0,38161.1569,0.14
Pickup,Hybrid,2010,2,4,21.5,0,39125.81578,0.14
Pickup,Hybrid,2009,2,4,20.5,0,39523.74323,0.15
Pickup,Hybrid,2008,0,0,0,0,39642.69542,0.10
Pickup,Hybrid,2007,2,4,16.5,0,41714.3229,0.18
Pickup,Hybrid,2006,2,4,16.5,0,42787.72777,0.18
Pickup,Hybrid,2005,2,4,16.5,0,41629.5904,0.18
Pickup,Hybrid,2004,2,4,16.5,0,42129.51392,0.18
Pickup,Hybrid,2003,0,0,0,0,41696.14444,0.10
Pickup,Hybrid,2002,0,0,0,0,41456.03891,0.10
Pickup,Hybrid,2001,0,0,0,0,41434.10118,0.10
Pickup,Hybrid,2000,0,0,0,0,43092.93731,0.10
Pickup,Hybrid,1999,0,0,0,0,42638.6289,0.10
Pickup,Hybrid,1998,0,0,0,0,43199.05855,0.10
Pickup,PEV,2017,0,0,0,0,58937.47257,0.10
Pickup,PEV,2016,0,0,0,0,67717.1809,0.10
Pickup,PEV,2015,0,0,0,0,57142.86822,0.10
Pickup,PEV,2014,0,0,0,0,45768.55635,0.10
Pickup,PEV,2013,0,0,0,0,54262.843,0.10
Pickup,PEV,2012,0,0,0,0,49158.62783,0.10
Pickup,PEV,2011,0,0,0,0,40140.75282,0.10
Pickup,PEV,2010,0,0,0,0,40140.75282,0.10
Pickup,PEV,2009,0,0,0,0,40140.75282,0.10
Pickup,PEV,2008,0,0,0,0,40140.75282,0.10
Pickup,PEV,2007,0,0,0,0,40140.75282,0.10
Pickup,PEV,2006,0,0,0,0,40140.75282,0.10
Pickup,PEV,2005,0,0,0,0,40140.75282,0.10
Pickup,PEV,2004,0,0,0,0,40140.75282,0.10
Pickup,PEV,2003,0,0,0,0,40140.75282,0.10
Pickup,PEV,2002,0,0,0,0,40140.75282,0.10
Pickup,PEV,2001,0,0,0,0,40140.75282,0.10
Pickup,PEV,2000,0,0,0,0,40140.75282,0.10
Pickup,PEV,1999,0,0,0,0,40140.75282,0.10
Pickup,PEV,1998,0,0,0,0,40140.75282,0.10
Pickup,BEV,2017,0,0,0,0,66154.30594,0.10
Pickup,BEV,2016,0,0,0,0,76009.0806,0.10
Pickup,BEV,2015,0,0,0,0,64139.95412,0.10
Pickup,BEV,2014,0,0,0,0,51372.86938,0.10
Pickup,BEV,2013,0,0,0,0,60907.27275,0.10
Pickup,BEV,2012,0,0,0,0,55178.05164,0.10
Pickup,BEV,2011,0,0,0,0,45055.94704,0.10
Pickup,BEV,2010,0,0,0,0,45055.94704,0.10
Pickup,BEV,2009,0,0,0,0,45055.94704,0.10
Pickup,BEV,2008,0,0,0,0,45055.94704,0.10
Pickup,BEV,2007,0,0,0,0,45055.94704,0.10
Pickup,BEV,2006,0,0,0,0,45055.94704,0.10
Pickup,BEV,2005,0,0,0,0,45055.94704,0.10
Pickup,BEV,2004,0,0,0,0,45055.94704,0.10
Pickup,BEV,2003,0,0,0,0,45055.94704,0.10
Pickup,BEV,2002,0,0,0,0,45055.94704,0.10
Pickup,BEV,2001,0,0,0,0,45055.94704,0.10
Pickup,BEV,2000,0,0,0,0,45055.94704,0.10
Pickup,BEV,1999,0,0,0,0,45055.94704,0.10
Pickup,BEV,1998,0,0,0,0,45055.94704,0.10
Motorcycle,Gas,2017,11,23,53,0,11531.02445,0.06
Motorcycle,Gas,2016,13,28,53,0,11691.06825,0.06
Motorcycle,Gas,2015,11,30,53,0,11685.99273,0.06
Motorcycle,Gas,2014,11,30,53,0,11406.60473,0.06
Motorcycle,Gas,2013,12,30,53,0,11548.53949,0.06
Motorcycle,Gas,2012,12,25,53,0,11542.56322,0.06
Motorcycle,Gas,2011,12,26,53,0,12050.47039,0.06
Motorcycle,Gas,2010,11,29,53,0,12355.08887,0.06
Motorcycle,Gas,2009,12,30,53,0,12480.74577,0.06
Motorcycle,Gas,2008,11,28,53,0,12518.30831,0.06
Motorcycle,Gas,2007,12,32,53,0,13172.48359,0.06
Motorcycle,Gas,2006,12,33,53,0,13511.4417,0.06
Motorcycle,Gas,2005,12,27,53,0,13145.7269,0.06
Motorcycle,Gas,2004,10,26,53,0,13303.59196,0.06
Motorcycle,Gas,2003,11,30,53,0,13166.74322,0.06
Motorcycle,Gas,2002,13,31,53,0,13090.92308,0.06
Motorcycle,Gas,2001,15,33,53,0,13083.99561,0.06
Motorcycle,Gas,2000,10,22,53,0,13607.82029,0.06
Motorcycle,Gas,1999,10,20,53,0,13464.35949,0.06
Motorcycle,Gas,1998,15,40,53,0,13641.33109,0.06
Motorcycle,Diesel,2017,0,0,0,0,11531.02445,0.10
Motorcycle,Diesel,2016,0,0,0,0,11691.06825,0.10
Motorcycle,Diesel,2015,0,0,0,0,11685.99273,0.10
Motorcycle,Diesel,2014,0,0,0,0,11406.60473,0.10
Motorcycle,Diesel,2013,0,0,0,0,11548.53949,0.10
Motorcycle,Diesel,2012,0,0,0,0,11542.56322,0.10
Motorcycle,Diesel,2011,0,0,0,0,12050.47039,0.10
Motorcycle,Diesel,2010,0,0,0,0,12355.08887,0.10
Motorcycle,Diesel,2009,0,0,0,0,12480.74577,0.10
Motorcycle,Diesel,2008,0,0,0,0,12518.30831,0.10
Motorcycle,Diesel,2007,0,0,0,0,13172.48359,0.10
Motorcycle,Diesel,2006,0,0,0,0,13511.4417,0.10
Motorcycle,Diesel,2005,0,0,0,0,13145.7269,0.10
Motorcycle,Diesel,2004,0,0,0,0,13303.59196,0.10
Motorcycle,Diesel,2003,0,0,0,0,13166.74322,0.10
Motorcycle,Diesel,2002,0,0,0,0,13090.92308,0.10
Motorcycle,Diesel,2001,0,0,0,0,13083.99561,0.10
Motorcycle,Diesel,2000,0,0,0,0,13607.82029,0.10
Motorcycle,Diesel,1999,0,0,0,0,13464.35949,0.10
Motorcycle,Diesel,1998,0,0,0,0,13641.33109,0.10
Motorcycle,Hybrid,2017,0,0,0,0,11531.02445,0.10
Motorcycle,Hybrid,2016,0,0,0,0,11691.06825,0.10
Motorcycle,Hybrid,2015,0,0,0,0,11685.99273,0.10
Motorcycle,Hybrid,2014,0,0,0,0,11406.60473,0.10
Motorcycle,Hybrid,2013,0,0,0,0,11548.53949,0.10
Motorcycle,Hybrid,2012,0,0,0,0,11542.56322,0.10
Motorcycle,Hybrid,2011,0,0,0,0,12050.47039,0.10
Motorcycle,Hybrid,2010,0,0,0,0,12355.08887,0.10
Motorcycle,Hybrid,2009,0,0,0,0,12480.74577,0.10
Motorcycle,Hybrid,2008,0,0,0,0,12518.30831,0.10
Motorcycle,Hybrid,2007,0,0,0,0,13172.48359,0.10
Motorcycle,Hybrid,2006,0,0,0,0,13511.4417,0.10
Motorcycle,Hybrid,2005,0,0,0,0,13145.7269,0.10
Motorcycle,Hybrid,2004,0,0,0,0,13303.59196,0.10
Motorcycle,Hybrid,2003,0,0,0,0,13166.74322,0.10
