TAZ,DISTRICT,SD,county_id,TOTHH,TOTPOP,TOTACRE,RESACRE,CIACRE,TOTEMP,AGE0519,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,household_density,employment_density,density_index
142,3,3,1,145,354,824.0,7.0,481.44968,17729,26,629,4975,2881,4675,31,4538,0.0,0.0,1,0.0,0.0,0.0,3,2.468,0.2968576005618429,36.29647172662699,0.29444939019586625
143,3,3,1,440,1659,53.0,16.0,10.0,1606,385,75,465,400,567,0,99,0.0,0.0,3,0.0,0.0,0.0,2,4.6447,16.923076923076923,61.76923076923077,13.283705541770058
144,3,3,1,1249,3584,122.0,38.0,7.0,6884,1007,82,4855,1067,703,2,175,0.0,0.0,3,0.0,0.0,0.0,1,8.83204,27.755555555555556,152.9777777777778,23.49308304985177
145,3,3,1,1412,4409,243.0,52.0,70.11478000000001,7055,1579,22,4792,1059,943,0,239,0.0,0.0,3,0.0,0.0,0.0,1,3.99749,11.562891895641133,57.77351439358937,9.634605211261155
146,3,3,1,705,2155,689.0,20.86059,651.0,309,621,21,38,68,164,1,17,0.0,0.0,3,0.0,0.0,0.0,2,0.97224,1.0493248309146992,0.4599168407838894,0.3197646674089172
147,3,3,1,1228,4625,206.0,63.0,43.0,2750,1120,216,415,409,1229,2,479,0.0,0.0,3,0.0,0.0,0.0,2,2.76033,11.584905660377359,25.943396226415093,8.008670328315167
148,3,3,1,969,3709,204.0,55.0,54.0,2512,1033,132,480,465,985,0,450,0.0,0.0,3,0.0,0.0,0.0,1,2.47102,8.889908256880734,23.045871559633028,6.415239741822581
149,3,3,1,7191,22720,517.0,247.5816,140.0,1262,4443,75,425,364,319,0,79,0.0,0.0,3,0.0,0.0,0.0,1,2.04377,18.55351234423925,3.2560885243262323,2.7699671806967867
150,3,3,1,1319,5628,158.0,31.6875,70.0,1860,1143,168,311,308,842,0,231,0.0,0.0,3,0.0,0.0,0.0,1,2.63298,12.971112476951445,18.291333743085435,7.589263670062815
151,3,3,1,590,2037,59.0,27.0,1.0,108,384,56,28,7,13,0,4,0.0,0.0,3,0.0,0.0,0.0,1,2.3122,21.071428571428573,3.857142857142857,3.260335652885796
152,3,3,1,1348,4364,182.0,72.0,27.0,670,752,123,98,327,105,0,17,0.0,0.0,3,2190.56494,0.0,0.0,1,1.94486,13.616161616161616,6.767676767676767,4.520727593076453
153,3,3,1,1119,4194,101.0,59.0,1.0,1817,790,106,322,312,699,0,378,0.0,0.0,3,0.0,0.0,0.0,1,3.3976900000000003,18.65,30.283333333333335,11.541910762942779
154,3,3,1,1076,4230,92.0,48.0,14.0,1133,763,102,168,163,641,0,59,0.0,0.0,3,0.0,0.0,0.0,1,2.85341,17.35483870967742,18.274193548387096,8.901327414243783
155,3,3,1,1031,4138,82.0,49.0,3.0,280,820,108,62,68,33,2,7,0.0,0.0,3,0.0,0.0,0.0,1,2.495,19.826923076923077,5.384615384615385,4.23458311330165
156,3,3,1,668,2861,45.0,25.0,2.0,67,638,46,5,3,10,0,3,0.0,0.0,3,0.0,0.0,0.0,1,2.82345,24.74074074074074,2.4814814814814814,2.2552784076593597
157,3,3,1,961,3242,66.0,12.0,32.0,71,960,27,10,15,17,0,2,0.0,0.0,3,0.0,0.0,0.0,1,2.23189,21.84090909090909,1.6136363636363635,1.502620683579986
158,3,3,1,218,793,397.0,9.0,22.0,394,223,13,37,266,74,0,4,0.0,0.0,3,0.0,0.0,0.0,1,1.88227,7.032258064516129,12.709677419354838,4.527303394476069
159,3,3,1,1456,5060,179.0,83.0,3.0,260,848,101,39,76,41,1,2,0.0,0.0,3,0.0,0.0,0.0,1,2.0375,16.930232558139537,3.0232558139534884,2.565186751233263
160,3,3,1,1313,4944,95.0,62.0,2.0,271,897,115,45,74,30,0,7,0.0,0.0,3,0.0,0.0,0.0,1,2.40566,20.515625,4.234375,3.509933317550505
161,3,3,1,1159,4407,82.0,50.0,4.0,1274,833,122,188,276,654,0,34,0.0,0.0,3,0.0,0.0,0.0,1,3.31156,21.462962962962962,23.59259259259259,11.23872372166659
162,3,3,1,1258,4857,92.0,56.0,4.0,590,823,158,67,166,61,0,138,0.0,0.0,3,0.0,0.0,0.0,1,2.70955,20.966666666666665,9.833333333333334,6.6939033189033195
163,3,3,1,1245,4635,94.0,62.0,3.0,384,834,114,53,119,92,0,6,0.0,0.0,3,0.0,0.0,0.0,1,2.37546,19.153846153846153,5.907692307692308,4.51508712282193
164,3,3,1,1943,7772,183.0,87.0,21.0,808,1333,273,107,230,172,0,26,0.0,0.0,3,0.0,0.0,0.0,1,2.45427,17.99074074074074,7.481481481481482,5.28408524846184
165,3,3,1,1880,6877,175.0,75.0,42.0,2473,1008,463,302,970,698,2,38,0.0,0.0,3,1598.15088,0.0,0.0,1,2.81406,16.068376068376068,21.136752136752136,9.12866850840662
166,3,3,1,2650,9647,205.0,122.0,12.0,962,1584,190,191,373,192,0,16,0.0,0.0,3,506.23721,0.0,0.0,1,2.4418,19.776119402985074,7.17910447761194,5.26706170145948
167,3,3,1,1826,6865,196.0,104.0,15.0,1030,1342,184,102,126,608,0,10,0.0,0.0,3,0.0,0.0,0.0,1,2.25957,15.344537815126051,8.655462184873949,5.533919450132994
168,4,4,1,3086,9546,272.0,142.0,26.0,789,1573,300,133,137,207,1,11,0.0,0.0,3,0.0,0.0,0.0,1,2.07472,18.36904761904762,4.696428571428571,3.7401751152073737
169,4,4,1,2369,6703,457.0,270.0,20.0,2186,1144,323,411,1006,367,1,78,0.0,0.0,3,774.16785,0.0,0.0,1,1.6179,8.168965517241379,7.537931034482758,3.9203860857716037
170,4,4,1,2263,6027,305.0,164.0,19.0,2167,869,438,486,871,331,1,40,0.0,0.0,3,0.0,0.0,0.0,1,1.97127,12.366120218579235,11.841530054644808,6.049070544844516
171,4,4,1,898,2324,132.0,74.0,4.19393,1352,312,232,228,342,532,0,18,0.0,0.0,3,0.0,0.0,0.0,1,2.15,11.48426738494919,17.29034465974533,6.900768668645024
172,4,4,1,2006,5342,238.0,142.0,13.0,1548,843,341,242,328,596,4,37,0.0,0.0,3,0.0,0.0,0.0,1,1.91794,12.941935483870967,9.987096774193548,5.6370613756421655
173,4,4,1,1423,3706,147.0,91.0,1.0,396,533,128,86,36,54,0,92,0.0,0.0,3,0.0,0.0,0.0,1,1.7738900000000002,15.467391304347826,4.304347826086956,3.3672825489399334
174,4,4,1,2479,5987,182.0,113.0,3.0,843,656,154,130,460,95,0,4,0.0,0.0,3,0.0,0.0,0.0,1,2.09563,21.370689655172413,7.267241379310345,5.423085905873072
175,4,4,1,2182,4554,86.0,47.27549000000001,6.0,1304,365,212,214,604,224,0,50,0.0,0.0,2,0.0,0.0,0.0,1,3.41594,40.95692033991615,24.47654634429453,15.320660964787912
176,4,4,1,1908,4101,91.0,48.0,7.0,1472,373,388,168,328,570,0,18,0.0,0.0,2,0.0,0.0,0.0,1,3.32667,34.69090909090909,26.763636363636362,15.10799354491662
177,4,4,1,3527,9140,220.0,133.0,14.0,1756,1179,461,367,571,218,2,137,0.0,0.0,3,0.0,0.0,0.0,1,2.47787,23.993197278911566,11.945578231292517,7.975024497779427
178,4,4,1,2513,6965,206.0,121.0,5.0,549,922,197,105,165,66,1,15,0.0,0.0,3,0.0,0.0,0.0,1,2.03364,19.944444444444443,4.357142857142857,3.5759307642064004
179,4,4,1,2841,8264,230.0,134.0,9.0,666,1119,287,90,183,83,0,23,0.0,0.0,3,0.0,0.0,0.0,1,2.08967,19.867132867132867,4.6573426573426575,3.7728857968378926
180,4,4,1,1849,4567,93.0,55.0,3.0,902,538,131,60,161,525,0,25,0.0,0.0,3,0.0,0.0,0.0,1,2.9171,31.879310344827587,15.551724137931034,10.452612842978729
181,4,4,1,1922,5506,205.0,90.0,3.0,382,759,150,113,68,39,0,12,0.0,0.0,3,0.0,0.0,0.0,1,2.09035,20.666666666666668,4.10752688172043,3.4265046296296298
182,4,4,1,2456,6969,234.0,118.0,2.0,431,1057,218,65,61,70,0,17,0.0,0.0,3,0.0,0.0,0.0,2,2.04882,20.466666666666665,3.591666666666667,3.055467036139014
183,4,4,1,2509,7438,284.0,130.0,18.0,1126,1086,305,110,600,90,1,20,0.0,0.0,3,2353.4751,0.0,0.0,1,2.08699,16.9527027027027,7.608108108108108,5.2513736570132705
184,4,4,1,3147,9323,287.0,178.0,6.0,1709,1265,438,203,376,623,0,69,0.0,0.0,3,0.0,0.0,0.0,1,2.16617,17.10326086956522,9.28804347826087,6.019248934531911
185,4,4,1,3012,8736,309.0,145.0,40.0,1829,1087,303,475,797,224,0,30,0.0,0.0,3,3301.32227,242.20949,8.24565,1,2.13267,16.28108108108108,9.886486486486486,6.1512285266055144
186,4,4,1,2779,8062,376.0,172.0,15.0,1760,1178,330,517,592,266,0,55,0.0,0.0,3,0.0,0.0,0.0,1,2.04173,14.86096256684492,9.411764705882353,5.762347238961678
187,4,4,1,1492,4139,214.0,116.0,10.0,808,603,354,142,172,93,1,46,0.0,0.0,3,0.0,0.0,0.0,2,1.73676,11.841269841269842,6.412698412698413,4.159889579020014
188,4,4,1,753,4072,232.0,11.0,178.0,4502,1117,1402,282,1957,816,1,44,0.0,0.0,2,3961.04761,17397.79102,11152.93652,1,2.28992,3.984126984126984,23.82010582010582,3.4132330509114523
189,4,4,1,3546,8476,201.0,72.0,6.0,226,1057,29,104,60,27,1,5,0.0,0.0,2,0.0,0.0,0.0,1,2.88773,45.46153846153846,2.8974358974358974,2.7238355493922835
190,4,4,1,968,1647,1381.0,14.0,28.0,1010,114,17,44,727,211,0,11,0.0,0.0,3,0.0,0.0,0.0,1,2.6030900000000003,23.047619047619047,24.047619047619047,11.768501131494052
