zone_id,DISTRICT,SD,county_id,TOTHH,TOTPOP,TOTACRE,RESACRE,CIACRE,TOTEMP,AGE0519,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL
25,1,1,1,1551,3416,21.0,4.0,4.0,1608,435,302,369,630,220,0,87,232.0,341.0,0,0.0,0.0,0.0,1,4.89113
26,1,1,1,738,1606,13.0,2.0,5.0,3812,180,143,2577,732,269,2,89,232.0,341.0,0,0.0,0.0,0.0,1,5.31643
27,1,1,1,1522,3157,26.0,8.0,6.0,1568,357,134,315,789,298,0,32,318.82208,468.61349,0,0.0,0.0,0.0,1,4.60532
28,1,1,1,1964,3502,44.0,20.0,5.0,567,170,42,235,155,124,0,11,150.0,546.0,0,0.0,0.0,0.0,1,4.05281
29,1,1,1,3223,5258,37.0,15.0,4.0,3184,225,37,543,2393,196,2,13,256.36072,933.15295,0,0.0,0.0,0.0,1,5.34511
30,1,1,1,4160,7606,46.0,14.0,10.0,2222,694,112,428,843,780,0,59,116.23898,159.06387,1,0.0,0.0,0.0,1,4.49777
31,1,1,1,2728,4140,32.0,8.53555,9.0,2308,257,63,962,1064,175,0,44,121.60844,166.41154,1,0.0,0.0,0.0,1,4.59279
32,1,1,1,3097,5248,58.0,21.0,13.0,3094,376,204,731,1673,402,0,84,95.0,130.0,1,0.0,0.0,0.0,1,4.5433
33,1,1,1,2783,5472,59.0,24.02261,9.0,2248,437,212,434,730,745,0,127,133.8934,143.75923,1,0.0,0.0,0.0,1,4.57532
34,1,1,1,2767,4586,60.0,29.0,4.0,702,174,215,131,254,80,0,22,82.0,102.0,1,0.0,0.0,0.0,1,4.34149
35,1,1,1,2404,4746,58.0,30.0,2.0,380,439,86,129,104,33,0,28,109.0,109.0,1,0.0,0.0,0.0,1,4.39405
36,1,1,1,2833,5749,47.0,14.0,7.0,2689,543,288,507,942,856,1,95,171.0,239.0,1,0.0,0.0,0.0,1,4.86096
37,1,1,1,2131,4151,43.0,12.0,8.0,3070,404,169,1460,918,336,1,186,171.0,239.0,1,0.0,421.5498,0.0,1,4.86028
38,1,1,1,2614,4832,83.0,37.0,6.0,2425,311,303,1042,358,649,1,72,166.66141000000005,688.0517,1,0.0,0.0,0.0,1,4.8947
39,1,1,1,2152,4125,67.0,31.0,6.0,375,288,103,104,85,78,0,5,109.0,450.0,2,0.0,548.32013,94.81975,1,3.66092
40,1,1,1,2764,4538,128.0,43.0,28.0,5619,140,954,776,1928,672,3,1286,182.22881,593.4975,2,2480.03442,0.0,0.0,1,4.43027
41,1,1,1,2111,3808,183.0,20.0,90.0,13568,263,709,3975,5915,1886,8,1075,157.58542,789.3728,1,0.0,0.0,0.0,2,4.2409300000000005
42,1,1,1,3783,12685,628.0,147.44588000000005,484.0,694,1792,1,98,132,410,1,52,0.0,0.0,3,0.0,0.0,0.0,2,1.28955
43,2,2,1,3446,5651,199.0,57.0,5.0,2499,167,323,379,934,804,2,57,0.0,0.0,2,0.0,0.0,0.0,3,4.19276
44,2,2,1,3845,6414,136.0,56.0,14.0,1537,190,138,473,775,125,0,26,75.0,102.0,2,0.0,0.0,0.0,2,4.03144
45,2,2,1,2614,4424,93.0,40.19286,15.0,3477,153,435,739,949,1223,1,130,0.0,108.78957,1,0.0,0.0,0.0,1,4.97813
46,2,2,1,4324,7060,102.0,42.19071,8.0,1488,267,118,386,659,283,0,42,75.0,102.0,1,0.0,0.0,0.0,1,4.37996
47,2,2,1,1962,3111,56.0,24.28356,11.0,5045,114,235,623,3209,903,0,75,0.0,129.92776,2,743.19623,0.0,0.0,1,8.54946
48,2,2,1,2122,3890,88.0,40.0,4.0,923,201,121,181,474,122,5,20,0.0,123.0,2,523.74432,0.0,0.0,1,3.3160199999999995
49,2,2,1,2450,4548,135.0,76.0,6.0,785,366,97,253,322,96,12,5,0.0,123.0,2,274.65729,0.0,0.0,1,2.26075
50,2,2,1,2548,4464,121.0,59.0,12.0,2709,251,300,395,1172,777,1,64,0.0,0.0,2,0.0,0.0,0.0,1,3.61494
51,2,2,1,2225,3735,107.0,46.0,15.0,443,130,76,155,117,84,2,9,0.0,0.0,2,0.0,0.0,0.0,3,2.26056
52,2,2,1,930,2736,1491.0,57.0,280.0,2282,326,15,662,397,942,7,259,0.0,0.0,3,0.0,0.0,0.0,1,1.32751
53,2,2,1,48,194,1097.0,5.0,13.0,3726,5,14,151,1352,2170,25,14,0.0,0.0,3,0.0,0.0,0.0,2,9.96858
54,2,2,1,2794,6751,257.0,105.0,4.0,1046,782,378,165,415,71,0,17,0.0,0.0,3,0.0,0.0,0.0,1,2.37288
55,2,2,1,1597,3775,97.0,58.0,1.0,796,440,149,79,72,490,3,3,0.0,0.0,3,0.0,0.0,0.0,1,2.57525
56,2,2,1,66,339,250.0,2.0,157.0,569,22,7,34,235,288,0,5,0.0,0.0,3,0.0,0.0,0.0,1,1.08765
57,2,2,1,975,2500,137.0,80.0,3.0,394,383,81,115,142,45,4,7,0.0,0.0,3,0.0,0.0,0.0,1,1.6184
58,2,2,1,2534,5783,104.0,54.0,11.0,842,716,274,83,367,109,0,9,0.0,0.0,3,0.0,0.0,0.0,1,2.98121
59,2,2,1,3292,8120,200.0,110.0,21.0,1074,983,217,133,506,201,0,17,0.0,0.0,3,3220.53564,0.0,0.0,1,2.31371
60,2,2,1,1624,4028,87.0,55.0,2.0,231,472,81,36,72,27,3,12,0.0,0.0,2,0.0,0.0,0.0,1,2.28482
61,2,2,1,1980,4629,90.0,54.0,4.0,962,556,111,65,271,509,0,6,0.0,0.0,2,0.0,0.0,0.0,1,2.97987
62,2,2,1,3347,7567,158.0,80.0,11.0,1316,859,273,242,473,290,1,37,0.0,0.0,2,0.0,0.0,0.0,2,2.94607
63,2,2,1,2271,5413,129.0,71.0,5.0,825,621,171,165,346,115,0,28,0.0,0.0,2,0.0,0.0,0.0,1,2.58641
64,2,2,1,2920,6967,146.0,80.0,6.0,1376,862,236,213,243,657,0,27,0.0,0.0,2,0.0,0.0,0.0,2,2.97533
65,2,2,1,2509,5582,136.0,56.0,14.0,1438,581,293,325,496,261,0,63,0.0,0.0,2,0.0,0.0,0.0,2,3.14856
66,2,2,1,1991,4403,105.0,49.0,15.0,1377,485,302,181,649,134,0,111,0.0,0.0,2,0.0,0.0,0.0,2,3.00236
67,2,2,1,2252,5276,96.0,53.0,7.073639999999998,359,607,118,103,73,52,1,12,0.0,0.0,2,0.0,0.0,0.0,2,2.66202
68,2,2,1,1371,2965,72.0,34.0,4.0,570,239,89,76,292,92,0,21,0.0,0.0,3,0.0,0.0,0.0,1,2.8811400000000003
69,2,2,1,2723,8329,208.0,97.06412,46.0,5327,1539,503,506,3878,410,0,30,0.0,0.0,2,825.33057,6861.20508,1174.96875,1,3.4955300000000005
70,2,2,1,3006,6001,182.0,82.0,29.0,4584,484,549,874,1682,1342,1,136,0.0,0.0,1,0.0,0.0,0.0,1,3.59855
71,2,2,1,2057,4641,145.0,72.0,11.0,2620,527,258,463,1456,370,15,58,0.0,0.0,2,0.0,0.0,0.0,1,3.21263
72,2,2,1,1179,2506,59.0,21.83898,13.0,1404,129,66,245,885,175,0,33,0.0,111.0,1,246.39194,0.0,0.0,1,3.86254
73,2,2,1,2584,4217,69.0,32.0,9.0,2449,152,184,302,935,324,0,704,105.7346,191.25525,1,0.0,0.0,0.0,1,4.63212
74,2,2,1,2345,3931,84.0,17.0,24.0,3935,265,228,664,2714,278,0,51,34.0,117.0,1,0.0,0.0,0.0,1,4.29646
75,2,2,1,1908,2883,44.0,10.49264,13.0,2930,72,358,911,736,873,1,51,68.0,123.0,1,0.0,0.0,0.0,1,4.5072
76,2,2,1,1666,2535,41.0,7.378789999999999,13.0,5021,84,137,824,876,3104,5,75,125.48317,205.7924,2,1646.61853,0.0,0.0,1,4.86456
77,2,2,1,2316,4449,69.0,15.0,25.0,1406,435,91,249,741,271,0,54,79.46495999999998,130.32253,2,0.0,0.0,0.0,1,3.59182
78,2,2,1,3136,6155,91.0,22.0,9.0,2092,889,18,353,338,1371,0,12,234.17911,384.05374,2,0.0,0.0,0.0,2,4.52764
79,2,2,1,2315,3704,68.0,11.99386,25.38028,4354,295,132,734,2551,888,1,48,95.0,123.0,1,359.48679,0.0,0.0,3,4.32642
80,2,2,1,2101,4443,59.0,31.0,6.0,387,480,75,97,143,70,0,2,75.0,116.0,2,0.0,0.0,0.0,1,3.68156
81,2,2,1,4140,7832,110.0,42.11309,21.0,2061,538,158,346,796,719,0,42,48.0,68.0,1,0.0,0.0,0.0,1,3.95752
