primary_purpose,outbound,depart_range_start,depart_range_end,person_type,work,univ,school,escort,shopping,othmaint,eatout,social,othdiscr
social,False,5,23,PTYPE_RETIRED,0,0,0,0.097,0.338,0.067,0.156,0.328,0.014
social,False,5,23,PTYPE_DRIVING,0,0,0,0,0,0.368,0.15,0.482,0
social,False,5,23,PTYPE_SCHOOL,0,0,0,0.058,0.162,0.085,0.281,0.125,0.289
social,False,5,23,PTYPE_PRESCHOOL,0,0,0,0.23,0.028,0.072,0.23,0.44,0
othdiscr,False,5,23,PTYPE_FULL,0,0,0,0.108,0.319,0.132,0.27,0.112,0.059
othdiscr,False,5,23,PTYPE_PART,0,0,0,0.102,0.346,0.154,0.181,0.087,0.13
othdiscr,False,5,23,PTYPE_UNIVERSITY,0,0,0,0.116,0.374,0.124,0.162,0.033,0.191
othdiscr,False,5,23,PTYPE_NONWORK,0,0,0,0.11,0.389,0.19,0.19,0.067,0.054
othdiscr,False,5,23,PTYPE_RETIRED,0,0,0,0.111,0.284,0.186,0.197,0.111,0.111
othdiscr,False,5,23,PTYPE_DRIVING,0,0,0,0.277,0.304,0.057,0.205,0.157,0
othdiscr,False,5,23,PTYPE_SCHOOL,0,0,0,0.114,0.204,0.148,0.291,0.089,0.154
othdiscr,False,5,23,PTYPE_PRESCHOOL,0,0,0,0.335,0.133,0.111,0.282,0.052,0.087
atwork,False,5,23,PTYPE_FULL,0.189,0,0,0.067,0.163,0.149,0.395,0.019,0.018
atwork,False,5,23,PTYPE_PART,0.189,0,0,0.067,0.163,0.149,0.395,0.019,0.018
atwork,False,5,23,PTYPE_UNIVERSITY,0.189,0,0,0.067,0.163,0.149,0.395,0.019,0.018
atwork,False,5,23,PTYPE_DRIVING,0.189,0,0,0.067,0.163,0.149,0.395,0.019,0.018
